document_modified,standard,standard_deprecated,label,description,standard_created,standard_modified,status,category,citation
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/110,,Herbarium Information Standards and Protocols for Interchange of Data (HISPID3),"The 'Herbarium Information Standards and Protocols for Interchange of Data' (HISPID) is a standard format for the interchange of electronic herbarium specimen information. HISPID has been developed by a committee of representatives from all major Australian herbaria. This interchange standard was first published in 1989, with a revised version published in 1993. HISPID3 is an accession-based interchange standard. Although many fields refer to attributes of the taxon they should be construed as applying to the specimen represented by the record, not to the taxon per se. The interchange of taxonomic, nomenclatural, bibliographic, typification, rare and endangered plant conservation, and other related information is not dealt with in this standard, unless it specifically refers to a particular accession (record). This data dictionary is concerned primarily with data interchange standards but has considerable relevance to database structure since the task of preparing interchange files is simplified if the data fields of the despatching and receiving databases match, as far as possible, the interchange standard. If differences do exist then, generally, it is easier to combine data fields than it is to dissect them in a reliable manner. Fields that are concatenated are frequently heterogeneous in their nature and many preclude the possibility of rearranging the data contained within such fields. The fields discussed in this data dictionary cover most of the herbarium and botanic gardens sphere of activity and have been arranged in groups of similar types of information. In many cases these groups may coincide with separate well-defined tables (or databases) of structurally similar records. The challenge for herbarium data managers is to decide whether the data are to be efficiently exchanged as discrete but related tables (databases) or as a larger single flat file that may have to be appropriately dismembered by the receiving institution. Some database packages are able to stack multiple values in a single field. This useful data structure complicates the interchange format and will not be used at this stage.",1996,1996,Prior standard,Technical specification,Observation and Specimen Records. 1996. Herbarium Information Standards and Protocols for Interchange of Data (HISPID3) Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/110
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/103,,Economic Botany Data Collection Standard,"Studies on the uses of plants are becoming increasingly important. Standardisation of terms and a unified system to describe uses are of enormous benefit to gatherers of information, especially where exchanges of data sets are involved. The standard provides a system whereby uses of plants (in their cultural context) can be described, using standardised descriptors and terms, and attached to taxonomic data sets. It resulted from discussions at the International Working Group on Taxonomic Databases for Plant Sciences (TDWG) between 1989 and 1992.",1995,1995,Prior standard,Best current practice,TDWG Economic Botany Subgroup. 1995. Economic Botany Data Collection Standard. International Working Group on Taxonomic Databases for Plant Sciences (TDWG) http://www.tdwg.org/standards/103
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/106,,Plant Occurrence and Status Scheme (POSS),"The Plant Occurrence and Status Scheme (POSS) has been developed to provide standard terms for recording the occurrence of a plant taxon for a specific location. As with all standards, POSS aims to provide both a clear, unambiguous framework for information management, and at the same time provides a mechanism for information exchange. It is worth noting, that although the standard has been developed with the management of plant information in mind, the standard is equally suitable for the management of animal information, although animal movement and migration are not provided for.",1995,1995,Prior standard,,World Conservation Monitoring Centre. 1995. Plant Occurrence and Status Scheme: A Standard for Recording the Relationship between a Plant and a Place. International Working Group on Taxonomic Databases (TDWG) http://www.tdwg.org/standards/106
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/113,,Plant Names in Botanical Databases,"This standard defines the taxonomic and nomenclatural concepts associated with the names of plants. It describes the component parts, their functions and their interrelations of significance in structuring a database. The appendices provide an outline of a preliminary data dictionary illustrating possible elements and their properties. It does not provide a data model or a data format. A data model will be considered at a later date by the TDWG Sub-group considering this standard. Another TDWG Sub-group is preparing XDF (http://www.tdwg.org/standards/108 ), an EXchange Data Format (Allkin & White,1989; White & Allkin, 1992), which provides a language for defining a range of exchange formats for use between taxonomic databases.",1995,1995,Prior standard,Best current practice,TDWG Minimum Standard for Names in Botanical Databases Subgroup. 1995. Plant Names in Botanical Databases. International Working Group on Taxonomic Databases (TDWG) http://www.tdwg.org/standards/106
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/101,,Authors of Plant Names,"An index of authors of plant scientific names. Includes flowering plants, gymnosperms, pteridophytes, bryophytes, algae, fungi and fossil plants. Full names, dates of birth and death when known, recommended abbreviations and groups in which names have been published, are given for each author.",1992,1992,Prior standard,,"Brummitt, R. K. and C. E. Powell. 1992. Authors of Plant Names Standard. International Working Group on Taxonomic Databases (TDWG) http://www.tdwg.org/standards/101"
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/109,,World Geographical Scheme for Recording Plant Distributions (WGSRPD),"In setting out to establish standards for data fields in botanical databases, the International Working Group on Taxonomic Databases for Plant Sciences (TDWG) identified at an early stage of its existence a need for an agreed system of geographical units at approximately ""country"" level and upwards for use in recording plant distributions. This would aim to provide a standard which different organisations maintaining databases could adopt so that they could compare and exchange data with each other without loss of information due to incompatible geographical boundaries. The present publication has resulted from the deliberations over a period of three years of a committee of both taxonomic and applied botanists set up to produce such a standard. The system offered covers the whole world and identifies units at four levels, firstly continental, secondly regional (or subcontinental), thirdly at what may be called ""Botanical Country"" level (which may often ignore purely political considerations), and fourthly at a slightly lower level called ""Basic Recording Units"" where political integrity is fully recognised. In many cases, where Botanical Countries have no complicating political factors, the units at Level-3 and Level-4 are identical. Very large countries, however, have been subdivided into more conveniently sized units according to constituent states or provinces. It is a fundamental principle that units at all levels are bounded either by political boundaries which appear on modern maps or by coast lines. Modern geographical information systems have not superseded the need for such a scheme. This publication provides an introduction to the system followed by an account of the rationale behind decisions and the problems that had to be considered in its design. The geographical standard itself is presented in five tables. A gazetteer is included which relates over 2100 geographical names to this system. Finally, the units recognised are shown in seventeen maps.",1992,1992,Prior standard,,TDWG World Geographic Scheme for Recording Plant Distributions Committee. 2001. World Geographic Scheme for Recording Plant Distributions Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/109
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/108,,XDF - A Language for the Definition and Exchange of Biological Data Sets,A database file exchange medium to handle diverse classes of biological data required for file transfers between different database projects,1991,1991,Prior standard,,TDWG XDF Subgroup. 1992. Exchange Data Format (XDF) Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/108
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/114,,Botanico-Periodicum-Huntianum/Supplementum,An index of botanical publications and a supplement to Botanico-periodicum-huntianum.,1991,1991,Prior standard,,"Bridson, G. D. R. and E. R. Smith. 1991. Botanico-Periodicum-Huntianum/Supplementum Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/114"
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/105,,Index Herbariorum. Part I: The Herbaria of the World,"A guide that records the physical location, holdings, and contact information of the world's herbaria.",1990,1990,Prior standard,,"Holmgren, P. K., N. H. Holmgren, and L. C. Barnett. 1990. Index Herbariorum Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/105"
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/102,,International Transfer Format for Botanic Garden Plant Records (IFT2),"International Transfer Format for Botanic Garden Plant Records, version 2 (ITF2) was developed in response to requests from Botanic Gardens to incorporate additional data fields for transfer within the Botanic Gardens and allow for a more flexible transfer format than the original transfer format outlined in ITF version 01.00. It is biased towards 'Conservation Type Data Fields', but incorporates a procedure allowing for additional data fields to be identified and exchanged between gardens. It is because of this flexibility that it is believed that the ITF2 will remain relevant to Botanic Gardens for a long time despite the rapid change in information system technology in recent years. BGCI (http://www.bgci.org/ ) was helped by international editorial committee, ran a number of International Workshops within the Botanic Garden Community and also consulted with internationally known horticultural Groups over the last 5 years produce this final draft of the International Transfer Format for Botanic Garden Records - Version 2 and it is hoped that others beyond the Botanic Garden Community will be able to make use of this publication. ITF2 was developed in close conjunction with HISPID3 (Herbarium Information Standards and Protocols for the Interchange of Data Version 3, http://www.tdwg.org/standards/110 ) and its progress has been closely monitored by the Centers of Plant Conservation (CPC) based in St Louis, Missouri, North American which is currently developing an data exchange format based on ITF2 but requiring additional fields unique to their network. It is fully compatible with ITF1 and has based its plantname structure on Plant Names in Botanical Databases (http://www.tdwg.org/standards/113 ), Frank A Bisby, Plant Taxonomic Database Standard No. 3 - Version 1.00, December 1994.",1987,1987,Prior standard,Technical specification,"Wyse Jackson, D., C. Hobson, B. Conn, R. Piacentini, S. Waldren, C. Ward, K. Bailey, P. Wyse Jackson, S. T. Wood, K. Walter. 1998. The International Transfer Format (ITF) for Botanic Garden Plant Records Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/102"
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/104,,Floristic Regions of the World,"A book that describes the floristic divisions for the whole world, lists endemic families and genera, and provides examples of endemic species for each province",1986,1986,Prior standard,,"Takhtajan, A. 1986. Floristic Regions of the World Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/104"
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/111,,"Taxonomic Literature, Edition 2 and its Supplements (TL-2)","TL-2 is the premier publication of the International Association for Plant Taxonomy (IAPT, https://www.iaptglobal.org/ ) and its online version (http://www.sil.si.edu/DigitalCollections/tl-2/ ) was made possible by the generous cooperation of the IAPT. In its print form, TL-2 is a 15 volume guide to the literature of systematic botany published between 1753 and 1940. It is organized by author and includes numbered entries for the author's publications. Suggested abbreviations for use in taxonomic publications are provided: abbreviations for the author's name, short titles and abbreviations of the short titles for publications. TL-2 is the standard by which authors' names and titles should be abbreviated.",1976,1976,Prior standard,,International Association for Plant Taxonomy. 1976. Taxonomic Literature Standard. IUBS Commission for Plant Taxonomic Databases (TDWG) http://www.tdwg.org/standards/111
2018-04-24T22:08:00-05:00,http://www.tdwg.org/standards/112,,Botanico-Periodicum-Huntianum,"A list of periodicals with botanical content, including abbreviations for the titles of books.",1970,1970,Prior standard,,"Bridson, G. D. R. 2004. Botanico-Periodicum-Huntianum Standard. Biodiversity Information Standards (TDWG) http://www.tdwg.org/standards/112"
2024-06-30T15:40:46-05:00,http://www.tdwg.org/standards/643,,Latimer Core,Latimer Core is a TDWG standard maintained by the Latimer Core maintenance group. It is a data standard for describing collections.,2024-02-28,2024-02-28,,,
