document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,rdfs_comment,dcterms_description,examples,rdf_type,tdwgutility_abcdEquivalence,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_usageScope,term_localName
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-09-14,maximumChronometricAgeReferenceSystem-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/maximumChronometricAgeReferenceSystem-2018-11-13,,,Maximum Chronometric Age Reference System,The reference system associated with the maximumChronometricAge.,,"`kya`,`mya`,`BP`,`AD`,`BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,maximumChronometricAgeReferenceSystem
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-09-14,minimumChronometricAge-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/minimumChronometricAge-2018-11-13,,,Minimum Chronometric Age,Lower limit for the age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated minimumChronometricAgeReferenceSystem.",`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,minimumChronometricAge
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-09-14,minimumChronometricAgeReferenceSystem-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,superseded,http://zooarchnet.org/dwc/terms/version/minimumChronometricAgeReferenceSystem-2018-11-13,,,Minimum Chronometric Age Reference System,The reference system associated with the minimumChronometricAge.,,"`kya`,`mya`,`BP`,`AD`,`BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,minimumChronometricAgeReferenceSystem
2021-05-04T20:24:21-05:00,http://rs.tdwg.org/chrono/terms/version/uncalibratedChronometricAge-2020-09-14,uncalibratedChronometricAge-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,recommended,,,,Uncalibrated Chronometric Age,The output of a dating assay before it is calibrated into an age using a specific conversion protocol.,,"`1510 +/- 25 14C yr BP`, `16.26 Ma +/- 0.016`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,uncalibratedChronometricAge
2021-05-04T20:24:21-05:00,http://rs.tdwg.org/chrono/terms/version/verbatimChronometricAge-2020-09-14,verbatimChronometricAge-2020-09-14,http://rs.tdwg.org/chrono/terms/version/,2020-09-14,recommended,http://zooarchnet.org/dwc/terms/version/verbatimChronometricAge-2018-11-13,,,Verbatim Chronometric Age,"The verbatim age for a specimen, whether reported by a dating assay, associated references, or legacy information.","For example, this could be the radiocarbon age as given in an AMS dating report. This could also be simply what is reported as the age of a specimen in legacy collections data.","`27 BC to 14 AD`, `stratigraphically pre-1104`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,verbatimChronometricAge
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2020-10-05,chronometricAgeDeterminedBy-2020-10-05,http://rs.tdwg.org/chrono/terms/version/,2020-10-05,superseded,,,,Chronometric Age Determined By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`Michelle LeFebvre | Neill Wallis`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeDeterminedBy
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2020-10-05,chronometricAgeDeterminedDate-2020-10-05,http://rs.tdwg.org/chrono/terms/version/,2020-10-05,superseded,,,,Chronometric Age Determined Date,The date on which the ChronometricAge was determined.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeDeterminedDate
2021-05-04T21:04:16-05:00,http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-11-17,ChronometricAge-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-09-14,,,Chronometric Age,The age of a specimen or related materials that is generated from a dating assay.,This is a categorical term (class) to organize the other chronometric age properties and does not ever have values.,,http://www.w3.org/2000/01/rdf-schema#Class,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-RadiometricDates,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,ChronometricAge
2021-05-04T21:29:20-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2020-11-17,chronometricAgeConversionProtocol-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeConversionProtocol-2020-09-14,,,Chronometric Age Conversion Protocol,"The method used for converting the uncalibratedChronometricAge into a chronometric age in years, as captured in the maximumChronometricAge, maximumChronometricAgeReferenceSystem, minimumChronometricAge, and minimumChronometricAgeReferenceSystem fields.","For example, calibration of conventional radiocarbon age or the currently accepted age range of a cultural or geological period.","`INTCAL13`, `sequential 6 phase Bayesian model and IntCal13 calibration`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeConversionProtocol
2021-05-04T21:29:20-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2020-11-17,chronometricAgeDeterminedBy-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedBy-2020-10-05,,,Chronometric Age Determined By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,`Michelle LeFebvre | Niell Wallis`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Identifiers,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeDeterminedBy
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2020-11-17,chronometricAgeDeterminedDate-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeDeterminedDate-2020-10-05,,,Chronometric Age Determined Date,The date on which the ChronometricAge was determined.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-0600` (8 Mar 1963 at 2:07pm in the time zone six hours earlier than UTC). `2009-02-20T08:40Z` (20 February 2009 8:40am UTC). `2018-08-29T15:19` (3:19pm local time on 29 August 2018). `1809-02-12` (some time during 12 February 1809). `1906-06` (some time in June 1906). `1971` (some time in the year 1971).,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-RadiometricDate-AnalysisDateTime,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeDeterminedDate
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2020-11-17,chronometricAgeProtocol-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeProtocol-2020-09-14,,,Chronometric Age Protocol,A description of or reference to the methods used to determine the chronometric age.,,"`radiocarbon AMS`, `K-Ar dates for the lower most marker tuff`, `historic documentation`, `ceramic seriation`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeProtocol
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2020-11-17,chronometricAgeReferences-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeReferences-2020-09-14,,,Chronometric Age References,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the ChronometricAge.",Recommended best practice is to separate the values in a list with space vertical bar space ( | ).,"`Pluckhahn, Thomas J., Neill J. Wallis, and Victor D. Thompson. 2020  The History and Future of Migrationist Explanation in the Archaeology of the Eastern Woodlands: A Review and Case Study of the Woodland Period Gulf Coast. Journal of Archaeological Research. https://doi.org/10.1007/s10814-019-09140-x`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-MeasurementOrFactReference,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeReferences
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2020-11-17,chronometricAgeRemarks-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeRemarks-2020-09-14,,,Chronometric Age Remarks,Notes or comments about the ChronometricAge.,,"`Beta Analytic number: 323913 | One of the Crassostrea virginica right valve specimens from North Midden Feature 17 was chosen for AMS dating, but it is unclear exactly which specimen it was.`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-DatingComment,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeRemarks
2021-05-04T21:29:20-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2020-11-17,chronometricAgeUncertaintyInYears-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyInYears-2020-09-14,,,Chronometric Age Uncertainty In Years,The temporal uncertainty of the maximumChronometricAge and minimumChronometicAge in years.,This is the +/- number for the age in years. The expected unit for this field is years.,`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-Accuracy,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeUncertaintyInYears
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2020-11-17,chronometricAgeUncertaintyMethod-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/chronometricAgeUncertaintyMethod-2020-09-14,,,Chronometric Age Uncertainty Method,The method used to generate the value of chronometricAgeUncertaintyInYears.,,"`2-sigma calibrated range`, `Half of 95% confidence interval`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-Method,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,chronometricAgeUncertaintyMethod
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/materialDated-2020-11-17,materialDated-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,superseded,http://rs.tdwg.org/chrono/terms/version/materialDated-2020-09-14,,,Material Dated,"A description of the material on which the chronometricAgeProtocol was actually performed, if known.",,"`Double Tuff`, `Charcoal found in Stratum V`, `charred wood`, `tooth`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-MaterialDated,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,materialDated
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-11-17,maximumChronometricAge-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,deprecated,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-09-14,,,Maximum Chronometric Age,Upper limit for the age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",`27`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-UpperValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,maximumChronometricAge
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-11-17,maximumChronometricAgeReferenceSystem-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,deprecated,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-09-14,,,Maximum Chronometric Age Reference System,The reference system associated with the maximumChronometricAge.,,"`kya`,`mya`,`BP`,`AD`,`BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-TimeUnit,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,maximumChronometricAgeReferenceSystem
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-11-17,minimumChronometricAge-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,deprecated,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-09-14,,,Minimum Chronometric Age,Lower limit for the age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated maximumChronometricAgeReferenceSystem.",`100`,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-LowerValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,minimumChronometricAge
2021-05-04T20:50:22-05:00,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-11-17,minimumChronometricAgeReferenceSystem-2020-11-17,http://rs.tdwg.org/chrono/terms/version/,2020-11-17,deprecated,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-09-14,,,Minimum Chronometric Age Reference System,The reference system associated with the minimumChronometricAge.,,"`kya`,`mya`,`BP`,`AD`,`BCE`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-TimeUnit,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,minimumChronometricAgeReferenceSystem
2021-05-04T21:39:43-05:00,http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2021-01-26,ChronometricAge-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/ChronometricAge-2020-11-17,,,Chronometric Age,"The age of a specimen and how this age is known, whether by a dating assay, a relative association with dated material, or legacy collections information.",The ChronometricAge extension is to be used only in cases where the collection event is not contemporaneous with the time when the organism was alive in its context. Collection event information can be reported in dwc:eventDate.,`An age range associated with a specimen derived from an AMS dating assay applied to an oyster shell in the same stratum`; `An age range associated with a specimen derived from a ceramics analysis based on other materials found in the same stratum`; `A maximum age associated with a specimen derived from K-Ar dating applied to a proximal volcanic tuff found stratigraphically below the specimen`; `An age range of a specimen based on its biostratigraphic context`; `An age of a specimen based on what is reported in legacy collections data`.,http://www.w3.org/2000/01/rdf-schema#Class,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-RadiometricDates,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,ChronometricAge
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/earliestChronometricAge-2021-01-26,earliestChronometricAge-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAge-2020-11-17,,,Earliest Chronometric Age,The maximum/earliest/oldest possible age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated earliestChronometricAgeReferenceSystem.",100,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:StratigraphicAttributions-ChronostratigraphicAttribution-UpperValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,earliestChronometricAge
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/earliestChronometricAgeReferenceSystem-2021-01-26,earliestChronometricAgeReferenceSystem-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/maximumChronometricAgeReferenceSystem-2020-11-17,,,Earliest Chronometric Age Reference System,The reference system associated with the earliestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,"`kya`,`mya`,`BP`,`AD`,`BCE`,`ka`,`Ma`,`Ga`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,earliestChronometricAgeReferenceSystem
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/latestChronometricAge-2021-01-26,latestChronometricAge-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAge-2020-11-17,,,Latest Chronometric Age,The minimum/latest/youngest possible age of a specimen as determined by a dating method.,"The expected unit for this field is years. This field, if populated, must have an associated latestChronometricAgeReferenceSystem.",27,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,https://terms.tdwg.org/wiki/abcd-efg:UnitStratigraphicDetermination-ChronostratigraphicAttribution-LowerValue,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,latestChronometricAge
2025-07-07T15:53:13-05:00,http://rs.tdwg.org/chrono/terms/version/latestChronometricAgeReferenceSystem-2021-01-26,latestChronometricAgeReferenceSystem-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/minimumChronometricAgeReferenceSystem-2020-11-17,,,Latest Chronometric Age Reference System,The reference system associated with the latestChronometricAge.,Recommended best practice is to use a controlled vocabulary.,"`kya`,`mya`,`BP`,`AD`,`BCE`,`ka`,`Ma`,`Ga`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,latestChronometricAgeReferenceSystem
2021-05-04T21:35:35-05:00,http://rs.tdwg.org/chrono/terms/version/materialDatedID-2021-01-26,materialDatedID-2021-01-26,http://rs.tdwg.org/chrono/terms/version/,2021-01-26,superseded,http://rs.tdwg.org/chrono/terms/version/materialDatedID-2020-09-14,,,Material Dated ID,"An identifier for the material on which the chronometricAgeProtocol was performed, if applicable.",,"`dwc:occurrenceID: 702b306d-f167-44d0-a5c9-890ece2b8839`, `https://www.idigbio.org/portal/records/e1438058-c8b9-418e-998e-1e497a3bcec4`",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,not in ABCD,http://rs.tdwg.org/chrono/terms/ChronometricAge,,extension,materialDatedID
