term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
behavior,Behavior,Chování,,Comportamiento,Comportement,,,,,行為,The behavior shown by the subject at the time the dwc:Occurrence was recorded.,"Chování, které subjekt vykazoval v době, kdy byla zaznamenána událost dwc:Occurrence.",,,Le comportement du sujet de l'observation au moment où la dwc:Occurrence a été enregistrée.,,,,,該筆紀錄的生物被觀察時，正進行的行為。,"This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín má ekvivalent ve jmenném prostoru dwciri:, který jako hodnotu umožňuje pouze IRI, zatímco tento termín umožňuje zadat jakoukoli řetězcovou literální hodnotu.",,,"Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
caste,Caste,Kasta,,,Caste,,,,,社會性生物的職能分工,Categorisation of individuals for eusocial species (including some mammals and arthropods).,Kategorizace jedinců u eusociálních druhů (včetně některých savců a členovců).,,,Catégorisation des individus pour les espèces eusociales (y compris quelques mammifères et arthropodes).,,,,,若該筆紀錄的生物為群居動物，可以此欄位記錄其於群體中的分工角色（包含一些哺乳類動物和節肢動物）。,"Recommended best practice is to use a controlled vocabulary that aligns best with the dwc:Taxon. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je použití řízeného slovníku, který nejlépe odpovídá dwc:Taxon. Tento termín má ekvivalent ve jmenném prostoru dwciri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé qui correspond le mieux au dwc:Taxon. Ce terme a un équivalent dans le dwciri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,,,,,,,,,,,,
catalogNumber,Catalog Number,Katalogové číslo,,Número de catálogo,Numéro de catalogue,,,,,館藏號,An identifier (preferably unique) for the record within the data set or collection.,Identifikátor (nejlépe jedinečný) záznamu v rámci souboru dat nebo sbírky.,,,Un identifiant (de préférence unique) pour l'enregistrement dans la série de données ou dans la collection.,,,,,,,,,,,,,,,,,,,,,,,,,
class,Class,Třída,,Clase,Classe,,Klasse,,,綱,The full scientific name of the class in which the dwc:Taxon is classified.,"Úplný vědecký název třídy, do které je dwc:Taxon zařazen.",,El nombre científico completo de la clase en el que se clasifica el dwc:Taxon.,Le nom scientifique complet de la classe dans laquelle le dwc:Taxon est classé.,,,,,,,,,,,,,,,,,,,,,,,,,
collectionCode,Collection Code,Kód sbírky,,,Code de la collection,,,,,典藏代碼,"The name, acronym, coden, or initialism identifying the collection or data set from which the record was derived.","Název, zkratka, kód nebo iniciála identifikující sbírku nebo soubor dat, z nichž byl záznam odvozen.",,,"Le nom, l'acronyme, le coden ou le sigle identifiant la collection ou la série de données à partir desquelles l'enregistrement a été obtenu.",,,,,該筆紀錄來源的代稱、代碼或縮寫，如典藏機構的標本分類代碼。,,,,,,,,,,,,,,,,,,,,
collectionID,Collection ID,ID sbírky,,,Identifiant de la collection,,,,,館藏ID,An identifier for the collection or dataset from which the record was derived.,"Identifikátor sbírky nebo datové sady, ze které byl záznam odvozen.",,,Un identifiant de la collection ou la série de données à partir desquelles l'enregistrement a été obtenu.,,,,,,"For physical specimens, the recommended best practice is to use a globally unique and resolvable identifier from a collections registry such as the Global Registry of Scientific Collections (https://scientific-collections.gbif.org/).","U fyzických exemplářů je doporučeným osvědčeným postupem použití celosvětově jedinečného a rozlišitelného identifikátoru z registru sbírek, jako je Globální registr vědeckých sbírek (https://scientific-collections.gbif.org/).",,"Para los especímenes físicos, la mejor práctica recomendada es utilizar un identificador único y resoluble a nivel global de un registro de colecciones, como el Registro Global de Colecciones Científicas (https://scientific-collections.gbif.org/).","Pour les spécimens physiques, la pratique optimale recommandée est d'utiliser un identifiant unique et résoluble à l'échelle mondiale provenant d'un registre de collections tel que le Global Registry of Scientific Collections (https://scientific-collections.gbif.org).",,,,,,,,,,,,,,,
continent,Continent,Kontinent,,Continente,Continent,,Continent,,,大洲,The name of the continent in which the dcterms:Location occurs.,"Název kontinentu, ve kterém se dcterms:Location vyskytuje.",,,Le nom du continent dans lequel se trouve la dcterms:Location.,,,,,大洲名稱。,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.","Doporučeným osvědčeným postupem je použití řízeného slovníku, jako je například Getty Thesaurus of Geographic Names. Doporučeným osvědčeným postupem je ponechat toto pole prázdné, pokud dcterms:Location pokrývá více entit na této administrativní úrovni nebo pokud dcterms:Location může být v jedné nebo jiné z více možných entit na této úrovni. Násobnost a neurčitost geografické entity lze zachytit buď v termínu dwc:higherGeography, nebo v termínu dwc:locality, případně v obou.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names. La pratique optimale recommandée est de laisser ce champ vide si la dcterms:Location recouvre plusieurs entités à ce niveau administratif ou si la dcterms:Location pourrait se trouver dans l'une ou l'autre des multiples entités possibles à ce niveau. La multiplicité et l'incertitude de l'entité géographique peuvent être renseignées soit dans le terme dwc:higherGeography, soit dans le terme dwc:locality, soit dans les deux.",,,,,,,,,,,,,,,
coordinatePrecision,Coordinate Precision,Přesnost souřadnic,,,Précision des coordonnées,,,,,座標精準度,A decimal representation of the precision of the coordinates given in the dwc:decimalLatitude and dwc:decimalLongitude.,Desetinná reprezentace přesnosti souřadnic uvedených v dwc:decimalLatitude a dwc:decimalLongitude.,,,Une représentation décimale de la précision des coordonnées données dans dwc:decimalLatitude et dwc:decimalLongitude.,,,,,依據十進位緯度（decimalLatitude）和十進位經度（decimalLongitude）中給出的座標精確度的十進位表示。,,,,,,,,,,,`0.00001` (normal GPS limit for decimal degrees); `0.000278` (nearest second); `0.01667` (nearest minute); `1.0` (nearest degree),`0.00001` (běžný limit GPS pro desetinné stupně); `0.000278` (nejbližší sekunda); `0.01667` (nejbližší minuta); `1.0` (nejbližší stupeň),,,`0.00001` (limite normale des GPS pour les degrés décimaux) ; `0.000278` (seconde la plus proche) ; `0.01667` (minute la plus proche) ; `1.0` (degré le plus proche),,,,,
coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,Neurčitost souřadnic v metrech,,,Incertitude des coordonnées en mètres,,,,,座標誤差(公尺),"The horizontal distance (in meters) from the given dwc:decimalLatitude and dwc:decimalLongitude describing the smallest circle containing the whole of the dcterms:Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.","Vodorovná vzdálenost (v metrech) od zadaných hodnot dwc:decimalLatitude a dwc:decimalLongitude popisující nejmenší kružnici obsahující celou dcterms:Location. Ponechte hodnotu prázdnou, pokud je nejistota neznámá, nelze ji odhadnout nebo není použitelná (protože neexistují žádné souřadnice). Nula není platná hodnota pro tento výraz.",,,"La distance horizontale (en mètres) à partir des coordonnées de dwc:decimalLatitude et de dwc:decimalLongitude, décrivant le plus petit cercle contenant l'ensemble de la dcterms:Location. Laisser la valeur vide si l'incertitude est inconnue, ne peut être estimée ou n'est pas applicable (parce qu'il n'y a pas de coordonnées). Zéro n'est pas une valeur valide pour ce terme.",,,,,從給定的十進位緯度（decimalLatitude）和十進位經度（decimalLongitude）到包含整個位置的最小圓的水平距離（以公尺為單位）。如果座標不確定、無法估計或不適用（因爲没有座標），則將該值留空。零值不是該項的有效值。,,,,,,,,,,,`30` (reasonable lower limit on or after 2000-05-01 of a GPS reading under good conditions if the actual precision was not recorded at the time); `100` (reasonable lower limit before 2000-05-01 of a GPS reading under good conditions if the actual precision was not recorded at the time); `71` (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system),"`30` (přiměřená dolní mez odečtu GPS za dobrých podmínek k datu 2000-05-01 nebo později, pokud v té době nebyla zaznamenána skutečná přesnost); `100` (přiměřená dolní mez odečtu GPS za dobrých podmínek před datem 2000-05-01, pokud v té době nebyla zaznamenána skutečná přesnost); `71` (nejistota pro souřadnici UTM s přesností 100 metrů a známým prostorovým referenčním systémem)",,,`30` (limite inférieure raisonnable à partir du 2000-05-01 d'un relevé GPS dans de bonnes conditions si la précision réelle n'a pas été enregistrée à ce moment-là) ; `100` (limite inférieure raisonnable jusqu'au 2000-05-01 d'un relevé GPS dans de bonnes conditions si la précision réelle n'a pas été enregistrée à ce moment-là) ; `71` (incertitude pour une coordonnée UTM ayant une précision de 100 mètres et un système de référence spatial connu),,,,,
country,Country,Země,,,Pays,,,,,國家,The name of the country or major administrative unit in which the dcterms:Location occurs.,"Název země nebo hlavní správní jednotky, ve které se dcterms:Location vyskytuje.",,,Le nom du pays ou de l'unité administrative principale dans lesquels se trouve la dcterms:Location.,,,,,,"Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names. Recommended best practice is to leave this field blank if the dcterms:Location spans multiple entities at this administrative level or if the dcterms:Location might be in one or another of multiple possible entities at this level. Multiplicity and uncertainty of the geographic entity can be captured either in the term dwc:higherGeography or in the term dwc:locality, or both.","Doporučeným osvědčeným postupem je použití řízeného slovníku, jako je například Getty Thesaurus of Geographic Names. Doporučeným osvědčeným postupem je ponechat toto pole prázdné, pokud dcterms:Location pokrývá více entit na této administrativní úrovni nebo pokud dcterms:Location může být v jedné nebo jiné z více možných entit na této úrovni. Násobnost a neurčitost geografické entity lze zachytit buď v termínu dwc:higherGeography, nebo v termínu dwc:locality, případně v obou.",,,"La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names. La pratique optimale recommandée est de laisser ce champ vide si la dcterms:Location recouvre plusieurs entités à ce niveau administratif ou si la dcterms:Location pourrait se trouver dans l'une ou l'autre des multiples entités possibles à ce niveau. La multiplicité et l'incertitude de l'entité géographique peuvent être renseignées soit dans le terme dwc:higherGeography, soit dans le terme dwc:locality, soit dans les deux.",,,,,,,,,,,,,,,
countryCode,Country Code,Kód země,,,Code du pays,,,,,国家代码,The standard code for the country in which the dcterms:Location occurs.,"Standardní kód země, ve které se dcterms:Location vyskytuje.",,,Le code standardisé du pays dans lequel se trouve la dcterms:Location.,,,,,,"Recommended best practice is to use an ISO 3166-1-alpha-2 country code, or `ZZ` (for an unknown location or a location unassignable to a single country code), or `XZ` (for the high seas beyond national jurisdictions).","Doporučeným postupem je použít kód země podle normy ISO 3166-1-alpha-2, nebo `ZZ` (pro neznámé místo nebo místo, které nelze přiřadit k jedinému kódu země), nebo `XZ` (pro volné moře mimo vnitrostátní jurisdikci).",,"La mejor práctica recomendada es utilizar un código de país ISO 3166-1-alpha-2, o ""ZZ"" (para una ubicación desconocida o una ubicación no asignable a un solo código de país), o ""XZ"" (para alta mar más allá de las jurisdicciones nacionales).","La pratique optimale recommandée est d'utiliser un code de pays ISO 3166-1-alpha-2, ou `ZZ` (pour une localisation inconnue ou non attribuable à un code de pays unique), ou `XZ` (pour la haute mer, au-delà des juridictions nationales).",,,,,,,,,,,,,,,
