term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_pt,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_pt,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_pt,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
p0019,forewing,,Vorderflügel,ala anterior,,,,asa dianteira,,,,The paired insect wing that is continuous with the mesonotum,,"Paariger Insektenflügel, der am Mesonotum ansetzt",Ala de insecto pareada que se continúa con el mesonoto,,,,A asa emparelhada de um inseto emparelhada que é contínua com o mesonoto,,,,,,,,,,,,,,,,,,,,,,,,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00017211_Melissa_porteri_fwg.jpg,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00017211_Melissa_porteri_fwg.jpg,,,,,,,,,
p0020,hindwing,,Hinterflügel,ala posterior,,,,asa posterior,,,,The paired insect wing that is continuous with the metanotum,,"Paariger Insektenflügel, der am Metanotum ansetzt",Ala de insecto pareada que se continúa con el metanoto,,,,A asa emparelhada de um inseto emparelhada que é contínua com o metanoto,,,,,,,,,,,,,,,,,,,,,,,,,,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610195_Agapostemon_texanus_hwg.jpg,https://mczbase.mcz.harvard.edu/specimen_images/entomology/large/MCZ-ENT00610195_Agapostemon_texanus_hwg.jpg,,,,,,,,,
p0021,foreleg,,Vorderbein,pata anterior,,,,perna dianteira,,,,Leg of the prothoracic segment,,Bein des Prothorax,Pata del segmento protorácico,,,,Perna do segmento protorácico,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.morphbank.net/?id=861240,,,,,,,,,,
p0022,midleg,,Mittleres Bein,pata media,,,,perna do meio,,,,Leg of the mesothoracic segment,,Bein des Mesothorax,Pata del segmento mesotorácico,,,,Perna do segmento mesotorácico,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.morphbank.net/?id=102967,https://www.morphbank.net/?id=102967,,,,,,,,,
p0023,hindleg,,Hinterbein,pata posterior,,,,perna traseira,,,,Leg of the metathoracic segment,,Bein des Metathorax,Pata del segmento metatorácico,,,,Perna do segmento metatorácico,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.morphbank.net/?id=468627,https://www.morphbank.net/?id=468627,,,,,,,,,
p0024,eye,,Auge,ojo,,,,olho,,,,An organ that detects light,,Lichtempfindliches Sinnesorgan,Un órgano que percibe luz,,,,um órgão que detecta luz,,,,,,,,,,,,,,,,,,,,,,,,,,https://commons.wikimedia.org/wiki/File:Compound_eye_of_a_Bumblebee.jpg,https://commons.wikimedia.org/wiki/File:Compound_eye_of_a_Bumblebee.jpg,,,,,,,,,
p0025,shell,,Schale,cascarón,,,,concha,,,,A rigid covering that envelops an object,,"Harte Schicht, die ein Objekt umgibt",Una cubierta rígida que envuelve un objeto,,,,Uma cobertura rígida que envolve um objeto,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.inaturalist.org/photos/251026905,https://www.inaturalist.org/photos/251026905,,,,,,,,,
p0026,genitalia,,Genitalien,,,,,genitália,,,,The outer sex organs,,äußere Geschlechtsorgane,Órganos sexuales externos,,,,órgãos sexuais externos,,,,,,,,,,,,,,,,,,,,,,,,,,"https://commons.wikimedia.org/wiki/File:Dragonfly,_U,_genitalia_top_2013-01-11-14.10.09_ZS_PMax_(8372440610).jpg","https://commons.wikimedia.org/wiki/File:Dragonfly,_U,_genitalia_top_2013-01-11-14.10.09_ZS_PMax_(8372440610).jpg",,,,,,,,,
p0027,skull,,Schädel,calavera,,,,caveira,,,,The part of the head consisting entirely of cranium and mandible,,Aus Cranium und Mandibel bestehender Teil des Kopfes,Parte de la cabeza que consiste enteramente en el cráneo y la mandíbula,,,,A parte da cabeça que consiste inteiramente de crânio e mandíbula,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.inaturalist.org/photos/251216754,https://www.inaturalist.org/photos/251216754,,,,,,,,,
p0028,cranium,,Kranium,cráneo,,,,crânio,,,,Upper portion of the skull,,Oberer Teil des Schädels,Parte superior del cráneo,,,,Parte superior do crânio,,,,,,,,,,,,,,,,,,,,,,,,,,http://arctos.database.museum/media/10508734,http://arctos.database.museum/media/10508734,,,,,,,,,
p0029,mandible,,Manibula,mandíbula,,,,mandíbula,,,,A dentary bone that is the only bone in one of the lateral halves of the lower jaw,,Der einzige Knochen im Unterkiefer,Hueso dentario que es el único hueso en una de las mitades laterales de la mandíbula inferior,,,,Um osso dentário que é o único osso em uma das metades laterais do maxilar inferior,,,,,,,,,,,,,,,,,,,,,,,,,,http://arctos.database.museum/media/10473443,http://arctos.database.museum/media/10473443,,,,,,,,,
p0030,fin,,Flosse,aleta,,,,barbatana,,,,An external projection of an aquatic animal used in propelling or guiding the body,,äußerliche Projektion eines aquatischen Tiers für die Fortbewegung oder Steuerung des Körpers,Proyección externa de un animal acuático utilizada para impulsar o guiar el cuerpo,,,,Uma projeção externa de um animal aquático usado para impulsionar ou guiar o corpo,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.inaturalist.org/photos/249623779,,,,,,,,,,
p0031,egg,,Ei,huevo,,,,ovo,,,,The hard-shelled reproductive body produced by an animal,,"Hartschaliges reproduktives System, das von einem Tier produziert wird",Cuerpo reproductivo de cascarón duro o coriáceo producido por un animal,,,,O corpo reprodutivo de casca dura produzido por um animal,,,,,,,,,,,,,,,,,,,,,,,,,,http://arctos.database.museum/media/10517057,http://arctos.database.museum/media/10517057,,,,,,,,,
p0032,bud,,Knospe,brote,,,,broto,,,,An undeveloped shoot system,,Ein unentwickeltes Triebsystem,Un sistema de tallo sin desarrollar,,,,Um sistema de caule vegetal não desenvolvido,,,,,,,,,,,,,,,,,,,,,,,,,,http://bioimages.vanderbilt.edu/baskauf/16256,http://bioimages.vanderbilt.edu/baskauf/16256,,,,,,,,,
