term_localName,label,skos_broader,definition,usage,notes,controlled_value_string,skos_inScheme,type
p038,ship/boat ballast water,p048,Organisms transported within the water pumped into boats and ships to provide ballast.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,ballastWater,p,http://www.w3.org/2004/02/skos/core#Concept
p039,ship/boat hull fouling,p048,Organisms that attach themselves to the subsurface hull of boats and ships. ,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,hullFouling,p,http://www.w3.org/2004/02/skos/core#Concept
p040,"vehicles (car, train, etc.)",p048,"Other vehicle hitchhikers that have been unintentionally dispersed, but are not covered by other terms.",,These organisms may be carried on or within the vehicle. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,vehicles,p,http://www.w3.org/2004/02/skos/core#Concept
p041,other means of transport,p048,A catchall term for any transport related dispersal that is not covered in other terms.,,"Examples include the movement of offshore installations, such as drilling platforms, but also pipeline and cable transport. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",otherTransport,p,http://www.w3.org/2004/02/skos/core#Concept
p042,interconnected waterways/basins/seas,p049,Organisms that dispersed through artificial waterways created to connect previosuly unconnected water bodies. ,"Organisms transported along these corridors in ballast, on as hull fouling SHOULD be categorised under the ""ship/boat ballast water"" or ""ship/boat hull fouling"" terms. ",See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,waterwaysBasinsSeas,p,http://www.w3.org/2004/02/skos/core#Concept
p043,tunnels and land bridges,p049,"Unintentional dispersal by organisms using artificial tunnels, bridges, roads and railways.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,tunnelsBridges,p,http://www.w3.org/2004/02/skos/core#Concept
p044,natural dispersal across borders of invasive alien organisms,p050,Dispersal of organisms to new regions by natural dispersal from regions in which they are alien.,,"These are alien species that have previously been introduced through one of these pathways: release in nature, excape from confinement, transport-contaminant, transport-stowaway, or corridor. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129",naturalDispersal,p,http://www.w3.org/2004/02/skos/core#Concept
p045,release in nature,p051,Organisms transported and released by humans in a (semi)natural environment with the intention that they should live their without further human aid.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,releaseInNature,p,http://www.w3.org/2004/02/skos/core#Concept
p046,escape from confinement,p051,"Organisms intentionally transported by humans and intended to be kept in captivity or cultivation, but having inadvertently escaped from human control.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,escapeFromConfinement,p,http://www.w3.org/2004/02/skos/core#Concept
p047,transport-contaminant,p052,An umbrella term for all species transported as contaninents in other products.,,An alien species is a contaminant if it had a trophic or biotic relationship to organisms or items being transported and was to some extent dependent on them for survival. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,transportContaminant,p,http://www.w3.org/2004/02/skos/core#Concept
p048,transport-stowaway,p052,"An umbrella term for all species transported by riding on forms of transport where the organism has a direct interation with the transport and is not merely carried as part of, or a contaminent of cargo.",,A stowaway has no trophic or biotic relationship to the organisms or items being transported. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,transportStowaway,p,http://www.w3.org/2004/02/skos/core#Concept
p049,corridor,p053,"Infrastructure, such as bridges, tunnels and canals have removed natural barriers to dispersal and allowed a species to move into a novel location.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,corridor,p,http://www.w3.org/2004/02/skos/core#Concept
p050,unaided,p053,"Organisms that spread by natural dispersal, without action or assistance by humans, from regions in which they are also alien.",,The term refers to secondary dispersal from an area where the taxon is also alien. See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,unaided,p,http://www.w3.org/2004/02/skos/core#Concept
p051,intentional,,"Organisms were brought to new area with the specific intention of keeping them alive in the new region, regardless of whether they were intended to be cultivated or released into the wild.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,intentional,p,http://www.w3.org/2004/02/skos/core#Concept
p052,unintentional,,The organism was unintentionally brought to a new region.,,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,unintentional,p,http://www.w3.org/2004/02/skos/core#Concept
p053,corridor and dispersal,,"Organisms dispersed naturally, even if that dispersal was aided by changes in the landscape created by humans.",,See also Harrower et al. 2017 http://nora.nerc.ac.uk/id/eprint/519129,corridorAndDispersal,p,http://www.w3.org/2004/02/skos/core#Concept
