document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,definition,usage,notes,examples,definition_derived_from,type,tdwgutility_organizedInClass,term_localName
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/isIncludedIn-2025-12-11,isIncludedIn-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Is Included In,The subject taxon concept has a less inclusive taxonomic meaning than the object taxon concept,"`isIncludedIn` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","The `isIncludedIn` relation is not symmetric, its inverse relation being `includes`, so if A `isIncludedIn` B then B `includes` A. The `isIncludedIn` relation is transitive, so if A `isIncludedIn` B and B `isIncludedIn` C it follows that A `isIncludedIn` C. This relation can also be written as the formula **A < B**.¶",https://tdwg.github.io/tcs2/examples/TaxonConcept-isIncludedIn-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isIncludedIn-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isIncludedIn-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,isIncludedIn
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/partiallyOverlaps-2025-12-11,partiallyOverlaps-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Partially Overlaps,"The subject and object taxon concepts have partially overlapping taxonomic meanings, _i.e._ they have some members in common, but each concept in addition has members that are not included in the other concept","`partiallyOverlaps` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","The `partiallyOverlaps` relation is symmetrical, so if A `partiallyOverlaps` B then B `partiallyOverlaps` A, but not transitive, so, if A `partiallyOverlaps` B and B `partiallyOverlaps` C, it does not follow that A `partiallyOverlaps` C. This relation can also be written as the formula **A >< B**.¶",https://tdwg.github.io/tcs2/examples/TaxonConcept-partiallyOverlaps-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-partiallyOverlaps-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-partiallyOverlaps-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,partiallyOverlaps
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/isDisjointFrom-2025-12-11,isDisjointFrom-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Is Disjoint From,"The subject and object taxon concepts have non-overlapping taxonomic meanings, _i.e._ they do not have any members in common","`isDisjointFrom` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","The `isDisjointFrom` relation is symmetrical, so if A `isDisjointFrom` B then B `isDisjointFrom` A, but not transitive, so, if A `isDisjointFrom` B and B `isDisjointFrom` C, it does not follow that A `isDisjointFrom` C. This relation can also be written as the formula **A | B**.¶",https://tdwg.github.io/tcs2/examples/TaxonConcept-isDisjointFrom-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isDisjointFrom-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isDisjointFrom-example-1.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,isDisjointFrom
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/intersects-2025-12-11,intersects-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Intersects,"The taxonomic meanings of the subject and object taxon concepts intersect, _i.e._ they have at least one member in common.","`intersects` can be used as a property on a Taxon Concept object, or as the value of the `mappingRelation` property on a Taxon Concept Mapping object. In both cases both the subject and object are Taxon Concepts.","`intersects` is the opposite of `isDisjointFrom` and the union of `isCongruentWith`, `includes`, `isIncludedIn` and `partiallyOverlaps`, meaning it can be any of these relations. This relation can be used when the more precise nature of the relationship is not known. Quasi-nomenclatural statements like 'pro parte synonym', 'partial synonym' and 'misapplication', are Taxon Concept Mappings, no matter how imperfect, and, in TCS, are best dealt with using the `intersects` relation. In fact, all 'traditional synonymy' relationships, cf. Berendsohn & al. (2000 [\[berendsohn_berlin_2003\]](../bibliography/#berendsohn_berlin_2003)), can be accommodated using `intersects`. Also, citations of references in treatments are, in the context of TCS, best accommodated using the `intersects` relation.",https://tdwg.github.io/tcs2/examples/TaxonConcept-intersects-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-intersects-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-intersects-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConcept-intersects-example-3.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConcept,intersects
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/TaxonConceptMapping-2025-12-11,TaxonConceptMapping-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Taxon Concept Mapping,Alignment or mapping of two Taxon Concepts in different taxonomies or different versions of a taxonomy,"When using this class the `subjectTaxonConcept`, `mappingRelation` and `objectTaxonConcept` are REQUIRED","The Taxon Concept Mapping class allows for adding extra data to a taxon concept mapping statement. As it allows for adding an 'according to' to a concept mapping it can be used for third-party mappings. While structurally very similar to the Darwin Core Resource Relationship class, it is different in that instances of the Taxon Concept Mapping class are meaningful as standalone objects.",https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isCongruentWith-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isCongruentWith-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-includes-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-includes-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isIncludedIn-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isIncludedIn-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-partiallyOverlaps-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-partiallyOverlaps-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isDisjointFrom-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-isDisjointFrom-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-intersects-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonConceptMapping-intersects-example-2.html,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonConceptMapping,TaxonConceptMapping
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/mappingAccordingTo-2025-12-11,mappingAccordingTo-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Mapping According To,Reference to the source of the taxon concept mapping.,`mappingAccordingTo` is an IRI term; a Taxon Concept Mapping can have only one `mappingAccordingTo`.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConceptMapping,mappingAccordingTo
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/mappingRelation-2025-12-11,mappingRelation-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Mapping Relation,The kind of mapping relation between the two concepts,"This property is REQUIRED; one MUST use one of the mapping properties `isCongruentWith`, `includes`, `isIncludedIn`, `partiallyOverlaps`, `isDisjointFrom` or `intersects`.",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConceptMapping,mappingRelation
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/subjectTaxonConcept-2025-12-11,subjectTaxonConcept-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Subject Taxon Concept,Taxon Concept that is the subject in the mapping statement.,`subjectTaxonConcept` is a TCS Taxon Concept; a Taxon Concept Mapping statement can have only one `subjectTaxonConcept`.,This is the Taxon Concept at the left-hand side of the statement.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConceptMapping,subjectTaxonConcept
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/objectTaxonConcept-2025-12-11,objectTaxonConcept-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Object Taxon Concept,Taxon Concept that is the object in the mapping statement.,`objectTaxonConcept` is a TCS Taxon Concept; a Taxon Concept Mapping statement can have only one `objectTaxonConcept`.,This is the Taxon Concept at the right-hand side of the statement.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonConceptMapping,objectTaxonConcept
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/TaxonName-2025-12-11,TaxonName-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Taxon Name,A name or label applied to a taxon or taxonomic group.,A TCS Taxon Name MUST have a `nameString`.,"The word 'name' here is taken in its dictionary meaning and not in the sense of a particular nomenclatural code. This means that the Taxon Name class can, in principle, be used for any type of name, not just names that are validly published under the relevant nomenclatural code.",https://tdwg.github.io/tcs2/examples/TaxonName-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonName-example-2.html | https://tdwg.github.io/tcs2/examples/TaxonName-example-3.html | https://tdwg.github.io/tcs2/examples/TaxonName-example-4.html,,http://www.w3.org/2000/01/rdf-schema#Class,http://rs.tdwg.org/tcs/terms/TaxonName,TaxonName
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/nameString-2025-12-11,nameString-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Name String,The complete name string without any authority or year components.,`nameString` is a literal. The `nameString` property is REQUIRED on a TCS Taxon Name and a Taxon Name can have only one `nameString`.,"The `nameString` property differs from the `scientificName` property in Darwin Core in that all kinds of names are allowed. Also, in the case of scientific names, contrary to the `dwc:scientificName`, `nameString` does not include the authorship. In botanical names, it does include the rank prefixes for infrageneric and infraspecific epithets as they are considered part of the name.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,nameString
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/namePublishedIn-2025-12-11,namePublishedIn-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Name Published In,Reference to the publication in which the name was first published.,,"In botany, this would be the protologue. This is the IRI counterpart of the Darwin Core `namePublishedIn`, which TCS borrows.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,namePublishedIn
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/microreference-2025-12-11,microreference-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Microreference,"Specifies any minor reference parts, e.g. page number.",`microreference` is a string literal; a Taxon Name can have only one `microreference` and only when `namePublishedIn` is used as well.,"In taxonomic works it is convention to cite the exact location in a work where a new name is published. The `microreference` property lets one do that on the Taxon Name object, so that the `namePublishedIn` reference can be reused.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,microreference
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/nomenclaturalCode-2025-12-11,nomenclaturalCode-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Nomenclatural Code,Nomenclatural code that applies to the group of organisms the taxonomic name is for.,`nomenclaturalCode` takes an IRI or object; a Taxon Name can have only one `nomenclaturalCode`.,"This is the IRI equivalent of the Darwin Core `nomenclaturalCode`. In the absence of a TDWG vocabulary, it is RECOMMENDED to use a value from the GBIF Nomenclatural Codes Vocabulary ([https://rs.gbif.org/vocabulary/gbif/nomenclatural_code.xml](https://rs.gbif.org/vocabulary/gbif/nomenclatural_code.xml)).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,nomenclaturalCode
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/nomenclaturalStatus-2025-12-11,nomenclaturalStatus-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Nomenclatural Status,Status related to the original publication of the name and its conformance to the relevant rules of nomenclature.,`nomenclaturalStatus` takes an IRI or object; a Taxon Name can have only one `nomenclaturalStatus`.,"This is the IRI equivalent of the Darwin Core `nomenclaturalStatus`. In the absence of a TDWG vocabulary, it is RECOMMENDED to use a value from the GBIF Nomenclatural Status Vocabulary ([https://rs.gbif.org/vocabulary/gbif/nomenclatural_status_2019-02-08.xml](https://rs.gbif.org/vocabulary/gbif/nomenclatural_status_2019-02-08.xml)).",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,nomenclaturalStatus
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/typification-2025-12-11,typification-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Typification,Designation of a nomenclatural type for a name,The `typification` property takes a TCS Nomenclatural Type or list of Nomenclatural Types.,`tcs:typification` is the inverse of `tcs:typifiedName`.,https://tdwg.github.io/tcs2/examples/TaxonName-typification-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonName-typification-example-2.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,typification
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/typificationLiteral-2025-12-11,typificationLiteral-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Typification,Designation of a nomenclatural type for a name,The `typificationLiteral` property takes a literal value.,The `typificationLiteral` property can be used for citation of a type (or types) as written in the publication in which the typified name was published.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,typificationLiteral
2026-02-17T02:15:45+10:00,http://rs.tdwg.org/tcs/terms/version/basionym-2025-12-11,basionym-2025-12-11,http://rs.tdwg.org/tcs/terms/version/,2025-12-11,recommended,,,,Basionym,Epithet- or name-bringing synonym.,A `basionym` is another Taxon Name; a Taxon Name can have only one `basionym`.,"The term `basionym` is in the draft BioCode ([\[greuter_draft_2011\]](../bibliography/#greuter_draft_2011)), so can be used for all organisms. The `basionym` property is only used for new combinations ('comb. nov.'). If the new name is a replacement name ('nom. nov.') the `replacedName` property SHOULD be used instead. It SHOULD be noted that a basionym is always a different name or combination: a name cannot be its own basionym.",https://tdwg.github.io/tcs2/examples/TaxonName-basionym-example-1.html | https://tdwg.github.io/tcs2/examples/TaxonName-basionym-example-2.html,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/tcs/terms/TaxonName,basionym
