term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
excludedLifeStageScope,Excluded Life Stage Scope,Rozsah vyloučených životních fází,,,Stades de Vie Exclu,,,,Неучитываемые стадии развития,,,The age classes or life stages of the dwc:Organisms explicitly excluded from sampling during the dwc:Event.,Věkové třídy nebo životní stádia dwc:Organisms výslovně vyloučené z odběru vzorků během dwc:Event.,,,Les classes d'âge ou les stades de vie des dwc:Organismes explicitement exclus de l'échantillonnage au cours de l'événement.,,,,"Возрастные классы, стадии развития, возрастные состояния dwc:Organism, которые были явно исключены из учета во время dwc:Event.",,,"This term is defined based on dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Recommended best practice is to use the same controlled vocabulary as for dwc:lifeStage and to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín je definován na základě dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Doporučeným osvědčeným postupem je používat stejný řízený slovník jako pro dwc:lifeStage a oddělovat více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"Este término se define según dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Se recomienda usar el mismo vocabulario controlado que para dwc:lifeStage y separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un valor de IRI, mientras que este término permite cualquier valor literal de cadena.","Ce terme est défini sur la base de dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). La pratique optimale recommandée est d'utiliser le même vocabulaire contrôlé que pour dwc:lifeStage et de séparer les différentes valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Данный термин определен на основе термина dwc:lifeStage (http://rs.tdwg.org/dwc/terms/lifeStage). Рекомендуется использовать тот же контролируемый словарь, что и для dwc:lifeStage, и разделять несколько значений в списке пробелом, вертикальной чертой, пробелом ( | ). У данного термина существует эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, в то время как данный термин допускает использование любой строки.",,,,,,,,,,,,,
excludedTaxonomicScope,Excluded Taxonomic Scope,Vyloučený taxonomický rozsah,,,Groupes Taxonomiques Exclus,,,,Неучитываемые таксоны,,,The taxonomic group(s) explicitly excluded from sampling during the dwc:Event.,Taxonomická skupina (skupiny) výslovně vyloučená z odběru vzorků během dwc:Event.,,,Le(s) groupe(s) taxonomique(s) explicitement exclu(s) de l'échantillonnage pendant le dwc:Event.,,,,Таксономическая группа (группы) неучитываемая в ходе dwc:Event.,,,"The dwc:Event to which the eco:excludedTaxonomicScope refers could be at any level of hierarchy. In the case of a higher level (parent) dwc:Event, include all the taxonomic groups explicitly excluded from the child dwc:Events that contributed to the parent dwc:Event. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Událost dwc:Event, na kterou odkazuje eco:excludedTaxonomicScope, může být na libovolné úrovni hierarchie. V případě vyšší úrovně (nadřazené) dwc:Event zahrňte všechny taxonomické skupiny explicitně vyloučené z podřízených dwc:Events, které přispěly k nadřazené dwc:Event. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"El dwc:Event al que se refiere eco:excludedTaxonomicScope puede estar en cualquier nivel jerárquico. En el caso de un dwc:Event de nivel superior (principal), incluya todos los grupos taxonómicos excluidos explícitamente de los dwc:Events secundarios que contribuyeron al dwc:Event principal. La práctica recomendada es separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","Le dwc:Event auquel l'eco:excludedTaxonomicScope fait référence peut se situer à n'importe quel niveau de la hiérarchie. Dans le cas d'un dwc:Event de niveau supérieur (parent), inclure tous les groupes taxonomiques explicitement exclus des dwc:Events enfants qui ont contribué au dwc:Event parent. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Событие dwc:Event к которому относится eco:excludedTaxonomicScope может находится на любом уровне иерархии. События dwc:Event, относящиеся к более более высокому уровню иерархии (родители), включают в себя все таксономические группы, неучитываемые на более низких уровнях (потомки) событий dwc:Events, результаты которых включаются в родительские dwc:Event. Рекомендуется разделение нескольких значений в списке пробелом, вертикальной чертой, пробелом ( | ). Данный термин имеет эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, тогда как данный термин допускает любое строковое значение.",,,,,,,,,,,,,
geospatialScopeAreaUnit,Geospatial Scope Area Unit,Jednotka geoprostorové oblasti působnosti,,,Unité de Surface du Champ d'Application Géospatial,,,,Единица площади географического охвата,,,The units associated with eco:geospatialScopeAreaValue,Jednotky spojené s eco:geospatialScopeAreaValue,,,Les unités associées à eco:geospatialScopeAreaValue,,,,"Единицы измерения, относящиеся к eco:geospatialScopeAreaValue",,,"Recommended best practice is to use a controlled vocabulary. For units containing exponents, use characters from the Unicode Latin-1 Supplement character set (hex 00B2 for squared and 00B3 for cubed). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Doporučeným osvědčeným postupem je používat řízený slovník. Pro jednotky obsahující exponenty používejte znaky z doplňkové znakové sady Unicode Latin-1 (hex 00B2 pro čtverec a 00B3 pro kostku). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který umožňuje jako hodnotu pouze IRI, zatímco tento termín umožňuje jakoukoli řetězcovou literální hodnotu.",,"Se recomienda usar un vocabulario controlado. Para unidades con exponentes, utilice caracteres del conjunto de caracteres Unicode Latin-1 Supplement (hexadecimal 00B2 para el cuadrado y 00B3 para el cubo). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. Pour les unités contenant des exposants, utilisez les caractères du jeu de caractères Unicode Latin-1 Supplement (hex 00B2 pour la mise au carré et 00B3 pour la mise au cube). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Рекомендуется использовать контролируемый словарь. Для единиц измерения, содержащих показатели степени, используйте символы из набора символов Unicode Latin-1 Supplement (hex 00B2 для квадрата и 00B3 для куба). Данный термин имеет эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, тогда как данный термин допускает любое строковое значение.",,,,,,,,,,,,,
geospatialScopeAreaValue,Geospatial Scope Area Value,Hodnota geoprostorové oblasti působnosti,,,Valeur de Surface du Champ d'Application Géospatial,,,,Величина площади географического охвата,,,The numeric value for the total area of the geospatial scope of the dwc:Event.,Číselná hodnota celkové plochy geoprostorového rozsahu dwc:Event.,,,La valeur numérique de la zone totale de l'étendue géospatiale du dwc:Event.,,,,Численное значение общей площади геопространственного охвата dwc:Event.,,,Geospatial scope refers to the dwc:Event location reported using the terms organized in Darwin Core under dcterms:Location. This area is always greater than or equal to the eco:totalAreaSampledValue. An eco:geospatialScopeAreaValue must have a corresponding eco:geospatialScopeAreaUnit.,Geoprostorový rozsah se vztahuje k poloze dwc:Event nahlášené pomocí termínů uspořádaných v Darwin Core pod dcterms:Location. Tato oblast je vždy větší nebo rovna hodnotě eco:totalAreaSampledValue. Hodnota eco:geospatialScopeAreaValue musí mít odpovídající eco:geospatialScopeAreaUnit.,,,La couverture géospatiale se réfère à la localisation du dwc:Event rapportée en utilisant les termes organisés dans Darwin Core sous dcterms:Location. Cette zone est toujours supérieure ou égale à la valeur eco:totalAreaSampledValue. Une eco:geospatialScopeAreaValue doit avoir une eco:geospatialScopeAreaUnit correspondante.,,,,"Географический охват относится к местоположению (локалитету) dwc:Event, описываемому с помощью категории терминов dcterms:Location. Эта площадь всегда больше или равна eco:totalAreaSampledValue. Величина, записываемая с помощью термина eco:geospatialScopeAreaValue всегда должна иметь соответствующее значение в eco:geospatialScopeAreaUnit.",,,,,,,,,,,,,
hasMaterialSamples,Has Material Samples,Má vzorky materiálu,,,A des Échantillons de Matériel,,,,Образцы были отобраны,,,Material samples were collected during the dwc:Event.,Vzorky materiálu byly odebrány během akce dwc:Event.,,,Des échantillons ont été prélevés lors du dwc:Event.,,,,Образцы (материальные) были отобраны в ходе dwc:Event.,,,,,,,,,,,,,,,,,,,,,,,,
hasNonTargetOrganisms,Has Non-target Organisms,Má necílové organismy,,,A des Organismes non-Cibles,,,,Наличие не целевых организмов,,,"One or more dwc:Organisms outside the target organismal scopes (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:targetLifeStageScope) were detected and reported for this dwc:Event.","Pro tuto dwc:Events byl zjištěn a nahlášen jeden nebo více dwc:Organisms mimo cílové obory organismů (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope a eco:targetLifeStageScope).",,,"Un ou plusieurs dwc:Organisms en dehors des champs cibles (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope, et eco:targetLifeStageScope) ont été détectés et signalés pour ce dwc:Event.",,,,"Один или более dwc:Organisms, находящиеся вне целевого охвата (eco:targetDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:targetLifeStageScope) были обнаружены и зафиксированы в отчете о результатах dwc:Event.",,,"This term is meant to alert users to the presence of non-target organisms (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target organismal scope is declared. Organismal scope is based on the combination of all of the following terms: eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope, and eco:excludedGrowthFormScope. Examination of the organismal scope is needed in order to identify the non-target dwc:Organisms. It should be possible to confirm the expectations by investigating the dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available). The value of this term should be 'true' if dwc:Occurrences of dwc:Organisms outside the organismal scope(s) as defined at the time of the dwc:Event are reported, otherwise the value of this term should be 'false'.","Tento termín má uživatele upozornit na přítomnost necílových organismů (v některých oborech nazývaných ""vedlejší úlovky""), které jsou v této dwc:Event hlášeny. Tento termín je relevantní pouze v případě, že je deklarován rozsah cílových organismů. Rozsah organismů je založen na kombinaci všech následujících termínů: eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope a eco:excludedGrowthFormScope. Zkoumání rozsahu organismů je nutné k identifikaci necílových dwc:Organisms. Mělo by být možné potvrdit očekávání zkoumáním dwc:Occurrences v této dwc:Event a v jejích podřízených dwc:Events (pokud jsou k dispozici). Hodnota tohoto termínu by měla být ""true"", pokud jsou hlášeny dwc:Occurrences dwc:Organisms mimo rozsah(y) organismu, jak je definován v době dwc:Event, jinak by hodnota tohoto termínu měla být ""false"".",,,"Ce terme a pour but d'alerter les utilisateurs sur la présence d'organismes non ciblés (appelés « prises accessoires » dans certaines disciplines) recensés dans ce dwc:Event. Ce terme n'est pertinent que si des organismes cibles sont déclarés. La couverture en termes d'organismes est basée sur la combinaison de tous les termes suivants : eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope, et eco:excludedGrowthFormScope. L'examen de cette couverture est nécessaire pour identifier les dwc:Organisms non ciblés. Il devrait être possible de confirmer les attentes en examinant les dwc:Occurrences dans ce dwc:Event et dans ses dwc:Events fils (le cas échéant). La valeur de ce terme doit être « true » si des dwc:Occurrences de dwc:Organisms en dehors du ou des champs d'application tels qu'ils sont définis au moment du dwc:Event sont signalées, sinon la valeur de ce terme doit être « false ».",,,,"Этот термин используется о предупреждении пользователей о наличии нецелевых организмов (в некоторых дисциплинах такое явление называют ""прилов"") в отчете о dwc:Event. Применение данного термина имеет смысл, только если целевой охват организмов был продекларирован. Целевой охват организмов основывается на комбинации всех следующих терминов: eco:targetLifeStageScope, eco:excludedLifeStageScope, eco:targetDegreeOfEstablishmentScope, eco:excludedDegreeOfEstablishmentScope, eco:targetGrowthFormScope, и eco:excludedGrowthFormScope. Для выявления нецелевых организмов требуется анализ целевого охвата организмов. Проверить соответствие должно быть возможно путём изучения нdwc:Occurrences в рамках данного dwc:Event и его дочерних dwc:Events (если таковые имеются). Значение данного термина должно быть 'true', если находки (dwc:Occurrences) нецелевых организмов (dwc:Organisms) были обнаружены в ходе dwc:Event. В противном случае значение этого термина должно быть 'false'.",,,,,,,,,,,,,
hasNonTargetTaxa,Has Non-target Taxa,Má necílové taxony,,,A pour Taxons Non-cibles,,,,Включает нецелевые таксоны,,,One or more dwc:Organisms of taxa outside the target taxonomic scope (the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope) were detected and reported for this dwc:Event.,Pro tuto dwc:Event byl zjištěn a nahlášen jeden nebo více dwc:Organisms taxonů mimo cílový taxonomický rozsah (kombinace eco:targetTaxonomicScope a eco:excludedTaxonomicScope).,,,Un ou plusieurs dwc:Organisms appartenant à des taxons situés en dehors du champ taxonomique cible (la combinaison de eco:targetTaxonomicScope et eco:excludedTaxonomicScope) ont été détectés et signalés pour ce dwc:Event.,,,,"В ходе данного dwc:Event зафиксированы один или несколько dwc:Organisms таксонов, выходящих за рамки целевой таксономического охвата (комбинации eco:targetTaxonomicScope и eco:excludedTaxonomicScope).",,,"This term is meant to alert users to the presence of non-target taxa (in some disciplines called “bycatch”) reported in this dwc:Event. This term is relevant only if a target taxonomic scope is declared. Taxonomic scope is based on the combination of eco:targetTaxonomicScope and eco:excludedTaxonomicScope. Examination of the taxonomic scope is needed in order to identify the non-target taxa. It should be possible to confirm the expectations by investigating the dwc:Occurrences in this dwc:Event and in its child dwc:Events (if available) or by exploring eco:nonTargetTaxa for this dwc:Event (if populated). The value of this term should be 'true' if dwc:Occurrences of taxa outside the taxonomic scope as defined at the time of the dwc:Event are reported, otherwise the value of this term should be 'false'.","Tento termín má uživatele upozornit na přítomnost necílových taxonů (v některých oborech nazývaných ""vedlejší úlovky""), které jsou v této dwc:Event hlášeny. Tento termín je relevantní pouze v případě, že je deklarován cílový taxonomický rozsah. Taxonomický rozsah je založen na kombinaci eco:targetTaxonomicScope a eco:excludedTaxonomicScope. Prozkoumání taxonomického rozsahu je nutné k identifikaci necílových taxonů. Mělo by být možné potvrdit očekávání prozkoumáním dwc:Occurrences v této dwc:Event a v jejích podřízených dwc:Events (pokud jsou k dispozici) nebo prozkoumáním eco:nonTargetTaxa pro tuto dwc:Event (pokud je vyplněna). Hodnota tohoto termínu by měla být ""true"", pokud jsou hlášeny dwc:Occurrences taxonů mimo taxonomický rozsah definovaný v době dwc:Event, jinak by hodnota tohoto termínu měla být ""false"".",,,"Ce terme a pour but d'alerter les utilisateurs sur la présence de taxons non ciblés (appelés « prises accessoires » dans certaines disciplines) recensés dans ce dwc:Event. Ce terme n'est pertinent que si des taxons cibles sont déclarés. La couverture en termes de taxons est basée sur la combinaison de : eco:targetTaxonomicScope and eco:excludedTaxonomicScope. L'examen de cette couverture est nécessaire pour identifier les taxons non ciblés. Il devrait être possible de confirmer les attentes en examinant les dwc:Occurrences dans ce dwc:Event et dans ses dwc:Events fils (le cas échéant), ou en examinant eco:nonTargetTaxa pour ce dwc:Event (s'il est renseigné). La valeur de ce terme doit être « true » si des dwc:Occurrences appartenant à des taxons en dehors du champ taxonomique tel qu'il est défini au moment du dwc:Event sont recensées, sinon la valeur de ce terme doit être « false ».",,,,"Данный термин предназначен для предупреждения пользователей о наличии нецелевых таксонов (в некоторых дисциплинах называемых «приловом»), зарегистрированных в ходе данного dwc:Event. Термин актуален только в случае, если объявлена целевой таксономический охват. Таксономический охват определяется комбинацией параметров eco:targetTaxonomicScope и eco:excludedTaxonomicScope. Для выявления нецелевых таксонов необходима проверка таксономического охвата. Должна быть возможность проверить ожидания путем анализа dwc:Occurrences в данном dwc:Event и в его дочерних dwc:Events (если таковые есть) или путем изучения eco:nonTargetTaxa для этого dwc:Event (если поле заполнено). Значением этого термина должно быть «true», если зарегистрированы находки таксонов за пределами таксономического охвата, выявленные в ходе dwc:Event, в противном случае значением должно быть «false».",,,,,,,,,,,,,
hasVouchers,Has Vouchers,Má vouchery,,,A des Spécimens de Référence,,,,Есть подтверждающие образцы,,,Specimen vouchers were collected during the dwc:Event.,Vouchery s exempláři byly shromážděny během dwc:Event.,,,Des spécimens ont été collectés lors du dwc:Event.,,,,Подтверждающие образцы были отобраны в ходе dwc:Event.,,,,,,,,,,,,,,,,,,,,,,,,
inventoryTypes,Inventory Types,Typy inventáře,,,Types d'Inventaires,,,,Тип инвентаризации,,,The types of search processes used to conduct the inventory.,Typy vyhledávacích postupů použitých při inventarizaci.,,,Les types de processus de recherche utilisés pour réaliser l'inventaire.,,,,"Типы (методы) учетных работ, использованные при проведении инвентаризации.",,,"This term is only relevant if the dwc:Event represents an inventory. Recommended best practice is to use a controlled vocabulary. Recommended best practice is to separate multiple values in a list with space vertical bar space ( | ). This term has an equivalent in the ecoiri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.","Tento termín je relevantní pouze v případě, že dwc:Event představuje inventář. Doporučeným osvědčeným postupem je použití řízeného slovníku. Doporučeným osvědčeným postupem je oddělit více hodnot v seznamu mezerou svislou čarou mezerou ( | ). Tento termín má ekvivalent ve jmenném prostoru ecoiri:, který jako hodnotu povoluje pouze IRI, zatímco tento termín povoluje jakoukoli řetězcovou literální hodnotu.",,"Este término solo es relevante si dwc:Event representa un inventario. Se recomienda usar un vocabulario controlado. Se recomienda separar los valores de una lista con espacio ( | ). Este término tiene un equivalente en el espacio de nombres ecoiri: que solo permite un IRI como valor, mientras que este término permite cualquier valor literal de cadena.","Ce terme n'est pertinent que si le dwc:Event est un inventaire. La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé. La pratique optimale recommandée est de séparer les valeurs d'une liste par une barre verticale ( | ). Ce terme a un équivalent dans le ecoiri: namespace qui n'autorise qu'un IRI comme valeur, alors que ce terme autorise n'importe quelle valeur sous forme de chaîne de caractères.",,,,"Данный термин актуален только в том случае, если dwc:Event представляет собой инвентаризацию. Рекомендуется использование контролируемого словаря. Рекомендуемой практикой является разделение нескольких значений в списке пробелом, вертикальной чертой, пробелом ( | ). У этого термина есть эквивалент в пространстве имён ecoiri:, который допускает только IRI в качестве значения, тогда как данный термин допускает использование любой строки.",,,,,,,,,,,,,
isAbsenceReported,Is Absence Reported,Je nahlášena nepřítomnost,,,L'absence est-elle répertoriée,,,,Отсутствие зарегистрировано,,,Taxonomic absences were reported.,Byly hlášeny taxonomické absence.,,,Les absences taxonomiques ont été répertoriées.,,,,Отсутствие таксонов зафиксировано в отчете.,,,Absences can be reported at any taxonomic level.,Absence lze hlásit na jakékoli taxonomické úrovni.,,,Les absences peuvent être signalées à n'importe quel niveau taxonomique.,,,,Отсутствие таксонов может быть зарегистрировано на любом таксономическом уровне.,,,,,,,,,,,,,
isAbundanceCapReported,Is Abundance Cap Reported,Je nahlášeno omezení hojnosti,,,Le plafond d'abondance est-il répertorié,,,,Указан ли максимальный уровень обилия,,,"A maximum number of dwc:Organisms was reported, as specified or restricted by the protocol used.",Maximální počet dwc:Organisms byl nahlášen podle specifikace nebo omezení použitého protokolu.,,,"Un nombre maximum de dwc:Organisms a été signalé, comme spécifié ou limité dans le protocole utilisé.",,,,"Было сообщено о максимальном количестве dwc:Organisms, в соответствии с указаниями или ограничениями примененного протокола.",,,Values of abundance cap should be captured under the term eco:abundanceCap.,Hodnoty horní hranice početnosti by měly být zachyceny pod termínem eco:abundanceCap.,,,Les valeurs du plafond d'abondance doivent être saisies sous le terme eco:abundanceCap.,,,,"Величины, характеризующие верхний предел обилия, должны указываться с использованием термина eco:abundanceCap.",,,,,,,,,,,,,
isAbundanceReported,Is Abundance Reported,Je nahlášena hojnost,,,L'abondance est-elle répertoriée,,,,Обилие зарегистрировано,,,The number of dwc:Organisms collected or observed was reported.,Počet shromážděných nebo pozorovaných dwc:Organisms byl nahlášen.,,,Le nombre de dwc:Organisms collectés ou observés a été communiqué.,,,,"Обилие dwc:Organisms, которые были собраны или наблюдались, указано в отчете.",,,Typically the abundance values would be reported in the dwc:organismQuantity and dwc:organismQuantityType terms for the child dwc:Occurrence records for this dwc:Event.,Obvykle se hodnoty početnosti uvádějí v termínech dwc:organismQuantity a dwc:organismQuantityType pro podřízené záznamy dwc:Occurrence pro tuto dwc:Event.,,,"En règle générale, les valeurs d'abondance sont indiquées dans les termes dwc:organismQuantity et dwc:organismQuantityType pour les enregistrements dwc:Occurrence de ce dwc:Event.",,,,"Как правило, величины обилия указываются в терминах dwc:organismQuantity и dwc:organismQuantityType для дочерних записей dwc:Occurrence данного dwc:Event.",,,,,,,,,,,,,
isDegreeOfEstablishmentScopeFullyReported,Is Degree of Establishment Scope Fully Reported,Je stupeň Rozsahu zavedení plně hlášen,,,Le Champs d'Application du Degré d'Implantation est-il Entièrement Répertorié,,,,Учтен ли полностью целевой охват степени натурализации,,,"Every dwc:Organism that was included within the degree of establishment scope, and was detected during the dwc:Event, was reported.","Každý dwc:Organism, který byl zahrnut do rozsahu zavedení a byl zjištěn během dwc:Event, byl nahlášen.",,,Tous les dwc:Organisms inclus dans le champ d'application du degré d'établissement et détectés lors du dwc:Event ont été répertoriés.,,,,"Каждый dwc:Organism, соответствующий целевому охвату степени натурализации был учтен в ходе dwc:Event.",,,"This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the degree of establishment scope and detected during the dwc:Event were reported, the value should be 'true'. Degree of establishment scope is based on the combination of eco:targetDegreeOfEstablishmentScope and eco:excludedDegreeOfEstablishmentScope.","Tento termín je relevantní pouze v případě, že dwc:Event používá metody omezeného nebo otevřeného vyhledávání. Pokud byly hlášeny všechny dwc:Organisms zahrnuté do rozsahu zavedení a zjištěné během dwc:Event, měla by být hodnota ""true"". Stupeň rozsahu zavedení je založen na kombinaci eco:targetDegreeOfEstablishmentScope a eco:excludedDegreeOfEstablishmentScope.",,,,,,,"Данный термин применим только в случае, если в dwc:Event использовались методы ограниченного или открытого поиска. Если все dwc:Organism, входящие в целевой охват степени натурализации и обнаруженные в ходе dwc:Event, были зарегистрированы, значение должно быть «true». Охват степени укоренённости определяется комбинацией eco:targetDegreeOfEstablishmentScope и eco:excludedDegreeOfEstablishmentScope.",,,,,,,,,,,,,
isGrowthFormScopeFullyReported,Is Growth Form Scope Fully Reported,Je rozsah formy růstu plně hlášen,,,Le Type de Croissance est-il Entièrement Répertorié,,,,Учтен ли полностью целевой охват жизненных форм,,,"Every dwc:Organism that was included within the growth form scope, and was detected during the dwc:Event, was reported.","Každý dwc:Organism, který byl zahrnut do rozsahu růstové formy a byl zjištěn během dwc:Event, byl nahlášen.",,,Tous les dwc:Organisms inclus dans le champ d'application du type de croissance et détectés lors du dwc:Event ont été répertoriés.,,,,"Каждый dwc:Organism, соответствующий целевому охвату жизненных форм и обнаруженный в ходе dwc:Event, был зарегистрирован.",,,"This term is only relevant if the dwc:Event used restricted search or open search methods. If all dwc:Organisms included within the growth form scope and detected during the dwc:Event were reported, the value should be 'true'. Growth form scope is based on the combination of eco:targetGrowthFormScope and eco:excludedGrowthFormScope.","Tento termín je relevantní pouze v případě, že dwc:Event používá metody omezeného nebo otevřeného vyhledávání. Pokud byly hlášeny všechny dwc:Organisms zahrnuté do rozsahu růstové formy a zjištěné během dwc:Event, měla by být hodnota ""true"". Rozsah růstové formy je založen na kombinaci eco:targetGrowthFormScope a eco:excludedGrowthFormScope.",,,"Ce terme n'est pertinent que si le dwc:Event a utilisé des méthodes de recherche restreinte ou ouverte. Si tous les dwc:Organisms inclus dans le champ d'application du type de croissance et détectés pendant le dwc:Event ont été signalés, la valeur doit être « true ». Le champ d'application du type de croissance est basé sur la combinaison d'eco:targetGrowthFormScope et eco:excludedGrowthFormScope.",,,,"Данный термин применим только в случае, если в dwc:Event использовались методы ограниченного или открытого поиска. Если все dwc:Organism, соответствующие целевому охвату жизненных форм были зарегистрированы в ходе dwc:Event, то значение должно быть 'true'. Охват жизненных форм определяется комбинацией значений, записанных с помощью терминов eco:targetGrowthFormScope и eco:excludedGrowthFormScope.",,,,,,,,,,,,,
isLeastSpecificTargetCategoryQuantityInclusive,Is Least Specific Target Category Quantity Inclusive,Zahrnuje množství nejméně specifické cílové kategorie,,,,,,,"Включает ли в себя количество, приведенное для общей целевой категории, количество всех более специфичных категорий",,,The total detected quantity for a dwc:Taxon (including subcategories thereof) in a dwc:Event is given explicitly in a single record (dwc:organismQuantity value) for that dwc:Taxon.,Celkové zjištěné množství pro dwc:Taxon (včetně jeho podkategorií) v dwc:Event je explicitně uvedeno v jediném záznamu (hodnota dwc:organismQuantity) pro tento dwc:Taxon.,,,,,,,"Общее количество dwc:Taxon (включая подкатегории), выявленное в ходе dwc:Event, явно приведено в одной записи (значение в поле dwc:organismQuantity) для данного dwc:Taxon.",,,"Recommended values are 'true' and 'false'. This term is only relevant if dwc:organismQuantity is a number. For a detailed explanation, see http://rs.tdwg.org/dwc/doc/inclusive/.","Doporučené hodnoty jsou 'true' a 'false'. Tento termín je relevantní pouze v případě, že dwc:organismQuantity je číslo. Podrobné vysvětlení naleznete na adrese http://rs.tdwg.org/dwc/doc/inclusive/.",,"Los valores recomendados son 'verdadero' y 'falso'. Este término solo es relevante si dwc:organismQuantity es un número. Para una explicación detallada, consulte http://rs.tdwg.org/dwc/doc/inclusive/.","Les valeurs recommandées sont « true » et « false ». Ce terme n'est pertinent que si dwc:organismQuantity est un nombre. Pour une explication détaillée, voir http://rs.tdwg.org/dwc/doc/inclusive/.",,,,"Рекомендуемые значения: 'true' и 'false'. Данный термин применим только в случае, если dwc:organismQuantity является числом. Подробное объяснение см. по адресу: http://rs.tdwg.org/dwc/doc/inclusive/.",,,,,,,,,,,,,
