term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant
p010,aquaculture/mariculture,akvakultura/marikultura,,acuicultura/maricultura,aquaculture/mariculture,수경재배/양식,aquacultuur/maricultuur,,,,"The analog of agriculture and farmed animals, specifically related to aquatic organisms.","Analog zemědělství a chovaných zvířat, konkrétně související s vodními organismy.",,"El análogo de la agricultura y los animales de granja, específicamente relacionado a organismos acuáticos.","L'analogue de l'agriculture et des animaux d'élevage, spécifiquement liés aux organismes aquatiques.","농작물, 가축의 유사체. 특히 수생식물과 관련된",,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p011,botanic garden/zoo/aquaria (excluding domestic aquaria),botanická zahrada/zoologická zahrada/akvárium (kromě domácích akvárií),,jardín botánico/zoológico/acuarios (excluyendo acuarios domésticos),jardin botanique/zoo/aquarium (à l'exclusion des aquariums domestiques),식물원/동물원/수족관(국내용 수족관제외),,,,,Organisms in public collections of plants and/or animals.,Organismy ve veřejných sbírkách rostlin a/nebo zvířat.,,Organismos en colecciones públicas de plantas o animales.,Organismes dans des collections publiques de plantes et/ou d'animaux.,공공 소장용 동식물,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p012,pet/aquarium/terrarium species (including live food for such species),druhy v zájmovém chovu/akváriích/teráriích (včetně živé potravy pro tyto druhy),,especies mascota/de acuario/de terrario (incluyendo comida viva para esas especies),"plantes ornementales, animaux de compagnie, organismes d’aquarium ainsi que leurs aliments vivants",반려동물/수조/테라리움 사육종(생식먹이 포함),,,,,Privately kept animals.,Soukromě chovaná zvířata.,,Animales mantenidos en forma privada.,Animaux détenus par des particuliers.,개인적으로 소유하는 동물들,,,,,"Animals kept for hunting, such as falcons and ferrets, SHOULD be included here, not under the hunting term.","Zvířata chovaná pro lov, jako jsou sokoli a fretky, BY MĚLA být zahrnuta zde, nikoli pod termínem lov.",,,"Les animaux élevés pour aider à la chasse, tels que les faucons et les furets, DEVRAIENT être inclus dans cette catégorie, et non sous terme ""hunting"".",,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p013,farmed animals (including animals left under limited control),hospodářská zvířata (včetně zvířat ponechaných pod omezenou kontrolou),,animales de granja (incluyendo animales dejados bajo control limitado),animaux d'élevage (y compris les animaux laissés sous contrôle limité),사육된동물(통제되고 있는 동물 포함),,,,,"Animals cared for and bred with the specific intention of using their products, such as meat and milk.","Zvířata pečovaná a chovaná se specifickým záměrem používat jejich produkty, jako je maso a mléko.",,"Animales cuidados y criados con la intención específica de utilizar sus productos, como la carne y la leche.","Les animaux soignés et élevés avec l'intentions spécifique d'utiliser leur prooduits, comme la viande et le lait.",고기나 우유같은 제품을 생산하려는 목적으로 사육되거나 번식되는 동물,,,,,,,,,,,,,,,"Farmed animals are generally kept in a defined area, such as a fields. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Hospodářská zvířata jsou obecně chována ve vymezené oblasti, jako je pole. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Les animaux d'élevage sont généralement détenus dans une zone définie, telle qu'un champ. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p014,forestry (including reforestation),lesnictví (včetně zalesňování),,silvicultura (incluyendo reforestación),foresterie (y compris la reforestation),산림관리(조림포함),,,,,Trees specifically introduced to provide timber and other forestry products.,Stromy speciálně vysazené k poskytování dřeva a jiných lesních produktů.,,Árboles introducidos específicamente para proporcionar madera y otros productos forestales.,Arbres spécifiquement introduits pour fournir du bois et d'autre produits forestiers.,목재나 다른 산림자원을 제공하려고 특정하게 도입하는 나무들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p015,fur farms,kožešinové farmy,,granjas de pieles,ferme à fourrure,모피 농장,,,,,"Organisms escaped from a fur farm, including unauthorised releases.","Organismy které unikly z kožešinové farmy, včetně neoprávněných vypuštění.",,"Organismos que han escapado de una granja de pieles, incluyendo liberaciones no autorizadas.","Organismes échappés d'un élevage pour la fourrure, y compris les mises en liberté non autorisés.","모피농장에서 탈출한 유기체, 승인되지 않은 방출을 포함",,,,,,,,,,,,,,,Probably only applicable to vertebrates raised for their pelts and skins. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Pravděpodobně platí pouze pro obratlovce chované pro jejich srst a kůži. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Ne s'applique probablement qu'aux vertébrés élevés pour leurs fourrures ou leurs peaux. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p016,horticulture,zahradnictví,,horticultura,horticulture,원예,,,,,Plants distributed by the ornamental and decorative plants industry.,Rostliny distribuované v průmyslu okrasných a dekorativních rostlin.,,Plantas distribuidas por la industria de plantas ornamentales y decorativas.,Plantes commercialisées par l'industrie des plantes ornementales.,"관상용, 장식용 식물 산업을 통해 배포됨",,,,,"This term excludes plants and other organisms from aquaria and terrariums, which SHOULD be classified under the pet/aquarium/terrarium term.","Tento pojem nezahrnuje rostliny a jiné organismy z akvárií a terárií, které BY MĚLY být klasifikovány pod pojmem mazlíček/akvárium/terárium.",,,"Ce terme exclut les plantes et autres organismes provenant d'aquariums et de terrariums, qui DEVRAIENT être classés sous le terme pet/aquarium/terrarium.",,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p017,ornamental purpose other than horticulture,okrasné účely jiné než zahradnické,,con fin ornamental distinto a horticultura,usage ornemental autre que l'horticulture,원예 이외의 장식 목적,,,,,Ornamental plants introduced through pathways other than the horticultural industry.,Okrasné rostliny zavlečené jinými cestami než zahradnickým průmyslem.,,Plantas ornamentales introducidas por vías distintas a aquellas de la industria de la horticultura.,Plantes ornementales introduites par des voies autres que l'industrie horticole.,원예산업외의 다른 경로 도입된 관상 식물들,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p018,research and ex-situ breeding (in facilities),výzkum a chov ex-situ (v zařízeních),,investigación y cría ex-situ (en instalaciones),recherche et élevage ex-situ,연구 및 현지 외 교배(시설 내),,,,,"Plants and animals introduced for the purpose of breeding or scientific and medical research, including science education.","Rostliny a zvířata dovezená za účelem šlechtění nebo vědeckého a lékařského výzkumu, včetně vědeckého vzdělávání.",,"Plantas y animales introducidos con el propósito de cría o de investigación científica o médica, incluyendo educación en ciencias.","Plantes et animaux introduits à des fins de reproduction ou de recherche scientifique et médicale, y compris l'enseignement des sciences.","교배를 목적으로 도입되거나 과학교육을 포함해 과학, 의학 연구를 위해 도입된 동식물",,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p019,live food and live bait,živá krmiva a živé návnady,,alimento vivo y cebo vivo,nourriture et appât vivant,식용생물 및 생미끼,,,,,"Live food imported for human consumption or live bait, such as shellfish and snails.","Živé potraviny dovážené k lidské spotřebě nebo živé návnady, jako jsou měkkýši a šneci.",,"Alimento vivo importado para consumo humano o cebo vivo, como mariscos y caracoles.","Aliments vivants importés pour la consommation humaine ou destinés à être des appâts vivants, tels que les crustacés et les escargots.","식용으로 산채로 수입되는 생물 또는 조개, 달팽이 같은 생 미끼",,,,,,,,,,,,,,,"Live food, such as mealworms, for the organisms kept as pets should be classified under the pet term. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Živá krmiva, jako jsou mouční červi, pro organismy chované jako domácí zvířata by měla být zařazena pod pojem domácí zvíře. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Les aliments en vie destinés aux organismes détenus comme animaux de compagnie, tels que les vers de farine,doivent être classés dans la catégorie des animaux de compagnie (pet). Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p020,other escape from confinement,jiný únik z uzavřeného prostoru,,otros escapes de confinamiento,autre evasion de confinement,탈출,,,,,"Organisms brought into an area with the intention of keeping them in captivity permanently, but that have subsequently escaped.","Organismy přivezené do oblasti s úmyslem držet je trvale v zajetí, které však následně unikly.",,"Organismos llevados a una región con la intención de mantenerlos en cautiverio de manera permanente, pero que han escapado.","Organismes introduits dans une zone avec l'intention de les garder en captivité de façon permanente, mais qui se sont par la suite échappés.",영구적으로 포획할 목적으로 도입되었으나 후에 탈출한 유기체,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
p021,contaminant nursery material,kontaminovaný školkařský materiál,,material de vivero contaminante,contaminant de matériel de pépinière,묘목재료,,,,,Organisms transported into an area together with plant material.,Organismy přenesené do oblasti spolu s rostlinným materiálem.,,Organismos transportados a un área junto con material vegetal.,Organismes transportés dans une région avec des plantes.,식물 재료와 함께 한 지역으로 옮겨진 유기체,,,,,,,,,,,,,,,"These may be other plants, diseases, fungi and animals. They may be attached to the plant or within the soil. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Mohou to být jiné rostliny, choroby, houby a živočichové. Mohou být přichyceny k rostlině nebo v půdě. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Il peut s'agir d'autres plantes, de maladies, de champignons et d'animaux. Ils peuvent être attachés à la plante ou présents dans le sol. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p022,contaminated bait,kontaminovaná návnada,,cebo contaminado,appât contaminé,오염된 미끼,,,,,"Contaminants, pathogens and parasites transported with live, frozen or preserved bait used to catch fish or other organisms.","Kontaminující látky, patogeny a paraziti přenášení s živou, zmrazenou nebo konzervovanou návnadou používanou k lovu ryb nebo jiných organismů.",,"Contaminantes, patógenos y parásitos transportados con cebo vivo, congelado o preservado, utilizado para capturar peces u otros organismos.","Contaminant, pathogenes et parasites transportés avec des appats de poissons congélés, vivants, ou préservés.","어류 또는 다른 유기체를 낚기위한 생미끼, 냉동 또는 보존처리된 미끼를 통해 옮겨진 오염물, 병원균, 기생충",,,,,,,,,,,,,,,"Typical examples include crustaceans, cephalopods and molluscs. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Typickými příklady jsou korýši, hlavonožci a měkkýši. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Les crustacés, les céphalopodes et les mollusques en sont des exemples typiques. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p023,food contaminant (including of live food),kontaminant potravin (včetně živých potravin),,contaminante de alimentos (incluyendo alimento vivo),contamination alimentaire (y compris de la nourriture vivante),식품을 통한 오염물질,,,,,"Foods for human consumption, whether they are transported live or dead.","Potraviny určené k lidské spotřebě, ať už jsou přepravovány živé nebo mrtvé.",,"Alimentos para consumo humano, transportados vivos o muertos.",Aliments pour la consommation humaine transportés vivants ou morts.,인간의 소비를 위해 산채로 또는 죽은채로 수입하는 식품들,,,,,,,,,,,,,,,"This term includes unintentional introduction of contaminants such as diseases on those foods and in the case of plants, should include seeds. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Tento pojem zahrnuje neúmyslné zanesení kontaminantů, jako jsou nemoci, do těchto potravin a v případě rostlin by měl zahrnovat i semena. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Ce terme inclut l'introduction involontaire de contaminants tels que des maladies sur ces aliments et, dans le cas des plantes, devrait inclure les semences. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p024,"contaminant on animals (except parasites, organisms transported by host/vector)","kontaminant na zvířatech (kromě parazitů, organismů přenášených hostitelem/vektorem)",,"contaminante de animales (excepto parásitos, organismos transportados por hospedador/vector)",contamination des animaux (sauf les parasites et les organismes transportés par un hôte/vecteur),동물을 통한 감염물질,,,,,Contaminants carried either on or in the body of transported animals.,Kontaminující látky přenášené na těle přepravovaných zvířat nebo v jejich těle.,,Contaminantes llevados sobre o dentro del cuerpo de animales transportados.,Contaminants transportés sur ou dans le corps des animaux transportés.,수입된 동물들의 몸속이나 몸을 통해 옮겨지는 오염물들,,,,,"This term excludes parasites and pathogens, which SHOULD be classified under their own specific term (""parasites on animals"").","Tento termín nezahrnuje parazity a patogeny, které by měly být zařazeny pod vlastní specifický termín („parazité na zvířatech“).",,,"Ce terme exclut les parasites et les agents pathogènes, qui DEVRAIENT être classés sous leur propre terme spécifique (""parasites on animals"").",,,,,,"Transported animals carry other organisms in their coats, in their guts and in soil on their hooves and feet. See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129","Přepravovaná zvířata přenášejí další organismy v srsti, ve střevech a v půdě na kopytech a nohách. Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,"Les animaux transportés portent d'autres organismes dans leur pelage, dans leurs intestins et dans la terre de leurs sabots et de leurs pattes. Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129",,,,,
p025,parasites on animals (including organisms transported by host and vector),parazité na zvířatech (včetně organismů přenášených hostitelem a přenašečem),,parásitos de animales (incluyendo organismos transportados por hospedador y vector),parasites d'animaux (y compris les organismes transportés par un hôte/vecteur),동물기생충(숙주를 통해 옮겨진 유기체 포함),,,,,Parasitic and pathogenic organisms transported with their host or vector animal.,Parazitické a patogenní organismy přenášené s hostitelem nebo přenašečem.,,Organismos parásitos y patógenos transportados con su hospedador o animales vectores.,Organismes parasites et pathogènes transportés avec leur hôte ou l'animal vecteur.,숙주 동물을 통해 옮겨진기생하는 유기체 또는 병원체,,,,,,,,,,,,,,,See also Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,Viz také Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,Voir également Harrower et al. 2017. http://nora.nerc.ac.uk/id/eprint/519129,,,,,
