term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_ru,label_zh-Hans,label_zh-Hant,definition_en,definition_cs,definition_de,definition_es,definition_fr,definition_ko,definition_nl,definition_ru,definition_zh-Hans,definition_zh-Hant,usage_en,usage_cs,usage_de,usage_es,usage_fr,usage_ko,usage_nl,usage_ru,usage_zh-Hans,usage_zh-Hant,notes_en,notes_cs,notes_de,notes_es,notes_fr,notes_ko,notes_nl,notes_ru,notes_zh-Hans,notes_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_ru,examples_zh-Hans,examples_zh-Hant
MeasurementOrFact,Measurement or Fact,Měření nebo fakt,,Medida o hecho,Mesure ou Fait,,,,,,"A measurement of or fact about a class within the standard, or a relationship between the ObjectGroup and an associated class.",Měření nebo fakt o třídě v rámci standardu nebo vztah mezi skupinou objektů a přidruženou třídou.,,"Medida o hecho sobre una clase dentro del estándar, o una relación entre el ObjectGroup y una clase asociada.","Une mesure ou un fait concernant une classe dans le standard, ou une relation entre le ObjectGroup et une classe associée.",,,,,,,,,,,,,,,,"This class can be used to apply measurements, facts or narratives to the ObjectGroup as a whole, or used to qualify the relationship between the ObjectGroup and an associated attribute. For example, an ObjectGroup may contain 100 objects, of which 40 are from Europe and 60 from Africa. In this example, one MeasurementOrFact (count of 100) would be attached to the ObjectGroup, and one to each of the two relationships between the ObjectGroup and GeographicContext (Europe: count of 40, Africa: count of 60).","Tuto třídu lze použít k použití měření, faktů nebo popisů na skupinu objektů jako celek nebo k upřesnění vztahu mezi skupinou objektů a přidruženým atributem. Například skupina ObjectGroup může obsahovat 100 objektů, z nichž 40 je z Evropy a 60 z Afriky. V tomto příkladu by byl k ObjectGroup připojen jeden MeasurementOrFact (počet 100) a jeden ke každému ze dvou vztahů mezi ObjectGroup a GeographicContext (Evropa: počet 40, Afrika: počet 60).",,"Esta clase puede utilizarse para aplicar medidas, hechos o narraciones al ObjectGroup en su conjunto, o utilizarse para calificar la relación entre el ObjectGroup y un atributo asociado. Por ejemplo, un ObjectGroup puede contener 100 objetos, de los cuales 40 son de Europa y 60 de África. En este ejemplo, se adjuntaría una MeasurementOrFact (recuento de 100) al ObjectGroup, y una a cada una de las dos relaciones entre el ObjectGroup y GeographicContext (Europa: recuento de 40, África: recuento de 60).","Cette classe peut être utilisée pour appliquer des mesures, des faits ou des récits au ObjectGroup dans son ensemble, ou pour qualifier la relation entre le ObjectGroup et un attribut associé. Par exemple, un ObjectGroup peut contenir 100 objets, dont 40 proviennent d'Europe et 60 d'Afrique. Dans cet exemple, un MeasurementOrFact (décompte de 100) serait attaché à l'ObjectGroup, et un à chacune des deux relations entre l'ObjectGroup et le GeographicContext (Europe : décompte de 40, Afrique : décompte de 60).",,,,,,,,,,,,,,,
ObjectClassification,Object Classification,Klasifikace objektů,,,Classification de l'Objet,,,,,,"An informal classification of the type of objects within the ObjectGroup, using a hierarchical structure.",Neformální klasifikace typu objektů v rámci skupiny ObjectGroup pomocí hierarchické struktury.,,,"Une classification informelle du type d'objets au sein de l'ObjectGroup, à l'aide d'une structure hiérarchique.",,,,,,,,,,,,,,,,"This class is used to categorise the ObjectGroup according to an informal, self-referential hierarchy. For example, this can be used to create a hierarchy encompassing biological, geological and anthropological collections, where a single formal taxonomy isn't appropriate.","Tato třída slouží ke kategorizaci skupiny ObjectGroup podle neformální, autoreferenční hierarchie. Lze ji například použít k vytvoření hierarchie zahrnující biologické, geologické a antropologické sbírky, kde není vhodná jednotná formální taxonomie.",,,"Cette classe est utilisée pour catégoriser l'ObjectGroup selon une hiérarchie informelle et autoréférentielle. Par exemple, elle peut être utilisée pour créer une hiérarchie englobant des collections biologiques, géologiques et anthropologiques, lorsqu'une taxonomie formelle unique n'est pas appropriée.",,,,,,,,,,,,,,,
ObjectGroup,Object Group,Skupina objektů,,,Groupe d'Objet,,,,,,An intentionally grouped set of objects with one or more common characteristics.,Záměrně seskupený soubor objektů s jednou nebo více společnými vlastnostmi.,,,Un ensemble d'objets regroupés intentionnellement et présentant une ou plusieurs caractéristiques communes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OrganisationalUnit,Organisational Unit,Organizační jednotka,,,Entité Organisationnelle,,,,,,"A unit within an organisational hierarchy which may be at, above or below the institutional level.","Jednotka v rámci organizační hierarchie, která může být na institucionální úrovni, nad ní nebo pod ní.",,,"Une entité au sein d'une hiérarchie organisationnelle qui peut se situer au niveau institutionnel, au-dessus ou au-dessous de celui-ci.",,,,,,,,,,,,,,,,"This class can represent any level of organisational unit, incorporating institutions (e.g. a museum), higher units (e.g. a university to which a museum belongs) and more detailed structures (e.g the departments and divisions within a museum). It can be used to arrange these different units at different levels into a hierarchical structure. This class combines aspects of both class org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) and class org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) from the W3C Organization Ontology ORG (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). Recommended best practice is to associate a unique, persistent organisational identifier (PID) with each created organisational unit. This will allow an unambiguous and continual identification of the unit, as well as the creation of organisational hierarchies. Existing providers of PIDs for organisations are, e.g. https://grid.ac/ and https://ror.org/. The provision of organisational PIDs might be extended to intra-organisational units in the future. Properties of Class: Identifier can be used to add identifier information for organisational units.","Tato třída může představovat jakoukoli úroveň organizační jednotky, zahrnující instituce (např. muzeum), vyšší jednotky (např. univerzitu, do které muzeum patří) a podrobnější struktury (např. oddělení a odbory v rámci muzea). Lze ji použít k uspořádání těchto různých jednotek na různých úrovních do hierarchické struktury. Tato třída kombinuje aspekty třídy org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) i třídy org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) z ontologie W3C Organization Ontology ORG (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). Doporučeným osvědčeným postupem je přiřadit ke každé vytvořené organizační jednotce jedinečný trvalý identifikátor organizace (PID). To umožní jednoznačnou a průběžnou identifikaci jednotky a také vytváření organizačních hierarchií. Existujícími poskytovateli identifikátorů PID pro organizace jsou např. https://grid.ac/ a https://ror.org/. Poskytování organizačních PID by se v budoucnu mohlo rozšířit i na vnitroorganizační jednotky. Vlastnosti třídy: Identifier lze použít k přidání identifikačních informací pro organizační jednotky.",,,"Cette classe peut représenter n'importe quel niveau d'entité organisationnelle, y compris des institutions (par exemple un muséum), des unités supérieures (par exemple une université à laquelle appartient un muséum) et des structures plus détaillées (par exemple les départements et les divisions au sein d'un muséum). Elle peut être utilisée pour organiser ces différentes unités à différents niveaux dans une structure hiérarchique. Cette classe combine des aspects de la classe org:Organization (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:Organization) et de la classe org:OrganizationalUnit (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#org:OrganizationalUnit) de l'ontologie d'organisation ORG du W3C (https://www.w3.org/TR/2014/REC-vocab-org-20140116/#overview-of-ontology). La pratique optimale recommandée consiste à associer un identifiant organisationnel unique et persistant (PID) à chaque entité organisationnelle créée. Cela permettra une identification sans ambiguïté et continue de cette entité, ainsi que la création de hiérarchies organisationnelles. Les fournisseurs actuels de PID pour les organisations sont, par exemple, https://grid.ac/ et https://ror.org/. La fourniture de PIDs organisationnels pourrait être étendue aux entités intra-organisationnelles à l'avenir. Les propriétés de Class: Identifier peuvent être utilisées pour ajouter des informations d'identification pour les entités organisationnelles.",,,,,,,,,,,,,,,
Person,Person,Osoba,,Persona,Personne,,,,,,"A person (alive, dead, undead, or fictional).","Osoba (živá, mrtvá, oživená nebo smyšlená).",,,"Une personne (vivante, morte, mort-vivante ou fictive).",,,,,,A person (alive or dead).,Osoba (živá nebo mrtvá).,,,Une personne (vivante ou décédée).,,,,,,"This concept should map to the Schema.org Person class (https://schema.org/Person), and the prov:Person class (http://www.w3.org/ns/prov#Person) in the PROV ontology. In the latter, it is a subclass of prov:Agent, which through which it can map to the RDA recommendations on attribution (http://dx.doi.org/10.15497/RDA00029). The definition is appropriated from the Schema.org class.","Tento koncept by měl být mapován na třídu Schema.org Person (https://schema.org/Person) a na třídu prov:Person (http://www.w3.org/ns/prov#Person) v ontologii PROV. V posledně jmenované třídě je podtřídou třídy prov:Agent, jejímž prostřednictvím se může mapovat na doporučení RDA týkající se atribuce (http://dx.doi.org/10.15497/RDA00029). Definice je přejata z třídy Schema.org.",,,"Ce concept devrait être aligné à la classe Person de Schema.org (https://schema.org/Person) et à la classe prov:Person (http://www.w3.org/ns/prov#Person) dans l'ontologie PROV. Dans cette dernière, il s'agit d'une sous-classe de prov:Agent, qui lui permet de correspondre aux recommandations RDA sur l'attribution (http://dx.doi.org/10.15497/RDA00029). La définition est tirée de la classe Schema.org.",,,,,,,,,,,,,,,
PersonRole,Person Role,Role osoby,,,Rôle d'une Personne,,,,,,A qualified association between a Person or OrganisationalUnit and an entity such as an ObjectGroup or MeasurementOrFact that enables the relationship to be contextualised with a specific role and time period.,"Kvalifikované spojení mezi osobou nebo organizační jednotkou a entitou, jako je ObjectGroup nebo MeasurementOrFact, které umožňuje dát vztah do souvislosti s konkrétní rolí a časovým obdobím.",,,"Une association définie entre une personne ou une entité organisationnelle et une instance telle qu'un ObjectGroup ou un MeasurementOrFact, qui permet de contextualiser la relation en fonction d'un rôle et d'une période spécifiques.",,,,,,,,,,,,,,,,"This class is aligned with the prov:qualifiedAttribution property (http://www.w3.org/ns/prov#qualifiedAttribution). It should be used instead of the Activity and PersonActivity classes to link a Person or OrganisationalUnit to an entity in situations where an activity is not know or is irrelevant, for example for describing a person's role within an organisation. It is not mandatory to link to either a Person or a Role in this class, to support use cases where a role is known but the person who fulfilled it is not, and where a person is known to have been involved but the context is not. However, it's expected that at least one of the hasPerson and hasRole properties is populated.","Tato třída je sladěna s vlastností prov:qualifiedAttribution (http://www.w3.org/ns/prov#qualifiedAttribution). Měla by se používat místo tříd Activity a PersonActivity k propojení osoby nebo organizační jednotky s entitou v situacích, kdy není známa činnost nebo je irelevantní, například pro popis role osoby v organizaci. V této třídě není povinné propojení ani s Osobou, ani s Rolí, aby se podpořily případy použití, kdy je známa role, ale není známa osoba, která ji plnila, a kdy je známa osoba, která byla zapojena, ale není znám kontext. Očekává se však, že alespoň jedna z vlastností hasPerson a hasRole bude vyplněna.",,,"Cette classe est alignée sur la propriété prov:qualifiedAttribution (http://www.w3.org/ns/prov#qualifiedAttribution). Elle doit être utilisée à la place des classes Activity et PersonActivity pour relier une personne ou une entité organisationnelle à une autre entité dans les cas où une activité n'est pas connue ou n'est pas pertinente, par exemple pour décrire le rôle d'une personne au sein d'une organisation. Il n'est pas obligatoire d'établir un lien avec une personne ou un rôle dans cette classe, afin de pouvoir prendre en charge les cas où un rôle est connu mais où la personne qui l'a rempli ne l'est pas, et où l'on sait qu'une personne a été impliquée mais où le contexte est inconnu. Toutefois, on s'attend à ce qu'au moins une des propriétés hasPerson et hasRole soit renseignée.",,,,,,,,,,,,,,,
RecordLevel,Record Level,Úroveň záznamu,,,Niveau d'Enregistrement,,,,,,The machine-actionable information profile for the collection description digital object.,Strojově zpracovatelný informační profil pro digitální objekt popisu sbírky.,,,Le profil d'information exploitable par l'ordinateur pour l'objet numérique relevant de la description de la collection.,,,,,,,,,,,,,,,,Linked to the RDA PID Kernel recommendation (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf),Propojeno s doporučením RDA PID Kernel (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf),,,Lié à la recommandation PID Kernel de la RDA (https://www.rd-alliance.org/system/files/RDA%20Recommendation%20on%20PID%20Kernel%20Information_final.pdf),,,,,,,,,,,,,,,
Reference,Reference,Odkaz,,Referencia,Référence,,,,,,A reference to external resources and information related to the class.,Odkaz na externí zdroje a informace týkající se třídy.,,,Une référence à des ressources externes et des informations relatives à la classe.,,,,,,,,,,,,,,,,"In Latimer Core, this class can be used to store references to publications, policies, datasets and other online resources such as websites, related to classes within the standard.","V jádře Latimer Core lze tuto třídu použít k ukládání odkazů na publikace, zásady, datové sady a další online zdroje, jako jsou webové stránky, související s třídami v rámci normy.",,,"Dans le Latimer Core, cette classe peut être utilisée pour stocker des références à des publications, des directives, des jeux de données et d'autres ressources en ligne telles que des sites web, en rapport avec les classes du standard.",,,,,,,,,,,,,,,
ResourceRelationship,Resource Relationship,Vztah mezi zdroji,,,Relation entre les ressources,,,,,,"A relationship of one rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) to another, or to a simple named concept.",Vztah jednoho rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) k jinému nebo k jednoduchému pojmenovanému konceptu.,,,"Relation d'une rdfs:Resource (http://www.w3.org/2000/01/rdf-schema#Resource) avec une autre, ou avec un concept simple nommé.",,,,,,,,,,,,,,,,"Resources can be thought of as identifiable records or instances of classes and may include, but need not be limited to instances of ltc:ObjectGroup, ltc:OrganisationalUnit, ltc:Taxon, ltc:Event, ltc:GeographicContext, ltc:GeologicalContext, ltc:EcologicalContext, or ltc:ObjectClassification. In the context of Latimer Core, the main purposes of this class are 1. to define different semantic and hierarchical relationships between ObjectGroups, and 2. to support quantified and annotated relationships between ObjectGroups and other LtC classes (such as ltc:Taxon and ltc:GeographicContext) and properties (such as ltc:discipline and ltc:objectType) that describe the contents of the ObjectGroup, using the hasMeasurementOrFact property.","Zdroje lze považovat za identifikovatelné záznamy nebo instance tříd a mohou zahrnovat instance ltc:ObjectGroup, ltc:OrganisationalUnit, ltc:Taxon, ltc:Event, ltc:GeographicContext, ltc:GeologicalContext, ltc:EcologicalContext nebo ltc:ObjectClassification, ale nemusí se na ně omezovat. V kontextu Latimer Core jsou hlavními účely této třídy 1. definovat různé sémantické a hierarchické vztahy mezi ObjectGroups a 2. podporovat kvantifikované a anotované vztahy mezi ObjectGroups a dalšími třídami LtC (například ltc:Taxon a ltc:GeographicContext) a vlastnostmi (například ltc:discipline a ltc:objectType), které popisují obsah ObjectGroup, pomocí vlastnosti hasMeasurementOrFact.",,,"Les ressources peuvent être considérées comme des enregistrements identifiables ou des instances de classes et peuvent inclure, sans s'y limiter, des instances de ltc:ObjectGroup, ltc:OrganisationalUnit, ltc:Taxon, ltc:Event, ltc:GeographicContext, ltc:GeologicalContext, ltc:EcologicalContext, ou ltc:ObjectClassification. Dans le contexte du Latimer Core, les principaux objectifs de cette classe sont 1. de définir différentes relations sémantiques et hiérarchiques entre les ObjectGroups, et 2. de prendre en charge les relations quantifiées et annotées entre les ObjectGroups et d'autres classes (telles que ltc:Taxon et ltc:GeographicContext) et propriétés LtC (telles que ltc:discipline et ltc:objectType) qui décrivent le contenu de l'ObjectGroup, à l'aide de la propriété hasMeasurementOrFact.",,,,,,,,,,,,,,,
Role,Role,Role,,Rol,Rôle,,,,,,The function of a Person with respect to an activity or entity.,Funkce osoby ve vztahu k činnosti nebo subjektu.,,,La fonction d'une personne par rapport à une activité ou une structure.,,,,,,,,,,,,,,,,"While this class contains no mandatory properties, it's recommended that at least one of the roleName and hasIdentifier properties are used to specify the intended role. Where appropriate, the use of controlled vocabularies such as the CRediT contributor roles taxonomy (https://credit.niso.org) is encouraged.","Ačkoli tato třída neobsahuje žádné povinné vlastnosti, doporučuje se použít alespoň jednu z vlastností roleName a hasIdentifier k určení zamýšlené role. V případě potřeby se doporučuje používat řízené slovníky, jako je taxonomie rolí přispěvatelů CRediT (https://credit.niso.org).",,,"Bien que cette classe ne contienne pas de propriétés requises, il est recommandé d'utiliser au moins l'une des propriétés roleName et hasIdentifier pour spécifier le rôle prévu. Le cas échéant, l'utilisation de vocabulaires contrôlés tels que la taxonomie des rôles des contributeurs du CRediT (https://credit.niso.org) est encouragée.",,,,,,,,,,,,,,,
SchemeMeasurementOrFact,Scheme Measurement Or Fact,Schéma měření nebo faktu,,,Mesure ou Fait du Modèle,,,,,,"A type of measurement or fact used by the LatimerCoreScheme, and the rules relating to its application.",Typ měření nebo faktu používaného LatimerCoreScheme a pravidla týkající se jeho použití.,,"Tipo de medida o hecho utilizado por el LatimerCoreScheme, y las reglas relativas a su aplicación.","Un type de mesure ou de fait utilisé par le LatimerCoreScheme, et les règles relatives à son application.",,,,,,,,,,,,,,,,"This class can be used to specify the qualitative and quantitative metrics that will be included in the LatimerCoreScheme using the MeasurementOrFact class, and dictate whether each will be mandatory and/or repeatable. This information can be used by software and queries to constrain and validate the Latimer Core dataset, and determine how and whether metrics can be aggregated and reported. The schemeMeasurementType property should correspond to the measurementType property of the MeasurementOrFact class in order to make the relevant association between the scheme definition and the stored data.","Tuto třídu lze použít k určení kvalitativních a kvantitativních metrik, které budou zahrnuty do LatimerCoreScheme pomocí třídy MeasurementOrFact, a určit, zda budou povinné a/nebo opakovatelné. Tyto informace mohou být použity softwarem a dotazy k omezení a ověření datové sady Latimer Core a k určení toho, jak a zda mohou být metriky agregovány a vykazovány. Vlastnost schemeMeasurementType by měla odpovídat vlastnosti measurementType třídy MeasurementOrFact, aby bylo možné vytvořit příslušné spojení mezi definicí schématu a uloženými údaji.",,"Esta clase puede utilizarse para especificar las métricas cualitativas y cuantitativas que se incluirán en el LatimerCoreScheme utilizando la clase MeasurementOrFact, y dictar si cada una será obligatoria y/o repetible. Esta información puede ser utilizada por el software y las consultas para restringir y validar el conjunto de datos Latimer Core, y determinar cómo y si las métricas pueden ser agregadas y reportadas. La propiedad schemeMeasurementType debe corresponderse con la propiedad measurementType de la clase MeasurementOrFact para establecer la asociación pertinente entre la definición del esquema y los datos almacenados.","Cette classe peut être utilisée pour préciser les mesures qualitatives et quantitatives qui seront incluses dans le LatimerCoreScheme à l'aide de la classe MeasurementOrFact, et indiquer si chacune d'entre elles sera obligatoire et/ou répétable. Ces informations peuvent être utilisées par les logiciels et les requêtes pour contraindre et valider l'ensemble de données Latimer Core, et déterminer si et comment les métriques peuvent être agrégées et rapportées. La propriété schemeMeasurementType doit correspondre à la propriété measurementType de la classe MeasurementOrFact afin d'établir une association pertinente entre la définition du schéma et les données stockées.",,,,,,,,,,,,,,,
SchemeTerm,Scheme Term,Termíny schématu,,,Terme du Modèle,,,,,,A Latimer Core term used by the LatimerCoreScheme and the rules relating to its application.,Termín Latimer Core používaný LatimerCoreScheme a pravidla týkající se jeho použití.,,Término del Latimer Core utilizado por el LatimerCoreScheme y las normas relativas a su aplicación.,Un terme du Latimer Core utilisé par le LatimerCoreScheme et les règles relatives à son application.,,,,,,,,,,,,,,,,"This class can be used to define which of the terms (classes and/or properties) within the standard (e.g. GeographicContext, Taxon, preservationMethod) are expected to be used within the scheme, and specify whether they're mandatory and/or repeatable. This information can be used by software and queries to validate the data and understand the rules by which metrics can be reported against the specified term.","Tuto třídu lze použít k definování, které termíny (třídy a/nebo vlastnosti) v rámci standardu (např. GeographicContext, Taxon, preservationMethod) se mají v rámci schématu používat, a k určení, zda jsou povinné a/nebo opakovatelné. Tyto informace mohou být použity softwarem a dotazy k ověření dat a k pochopení pravidel, podle kterých lze vykazovat metriky vůči určenému termínu.",,,"Cette classe peut être utilisée pour définir les termes (classes et/ou propriétés) du standard (par exemple GeographicContext, Taxon, preservationMethod) qui doivent être utilisés dans le schéma, et préciser s'ils sont obligatoires et/ou répétables. Ces informations peuvent être utilisées par les logiciels et les requêtes pour valider les données et comprendre les règles selon lesquelles les mesures peuvent être rapportées au terme spécifié.",,,,,,,,,,,,,,,
StorageLocation,Storage Location,Umístění uložiště,,,Lieu de stockage,,,,,,"A physical location (such as a building, room, cabinet or drawer) within the holding institution where objects associated with the collection description are stored or exhibited.","Fyzické umístění (např. budova, místnost, skříň nebo zásuvka) v rámci instituce, která je držitelem, kde jsou předměty související s popisem sbírky uloženy nebo vystaveny.",,,"Emplacement physique (tel qu'un bâtiment, une pièce, une armoire ou un tiroir) au sein de l'institution détentrice où les objets associés à la description de la collection sont stockés ou exposés.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxon,Taxon,Taxon,,Taxón,Taxon,,,,,,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.,"Skupina organismů (sensu http://purl.obolibrary.org/obo/OBI_0100026), kterou taxonomové považují za homogenní jednotku.",,,Groupe d'organismes (sensu http://purl.obolibrary.org/obo/OBI_0100026) considérés par les taxonomistes comme formant une unité homogène.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TemporalCoverage,Temporal Coverage,Časový rozsah,,,Couverture Temporelle,,,,,,"The time period during which the related event, activity or status was occurring.","Časové období, během něhož došlo k související události, činnosti nebo stavu.",,,"Période au cours de laquelle l'événement, l'activité ou le statut en question s'est produit.",,,,,,"To represent an ongoing period of time, temporalCoverageStartDateTime should be populated and temporalCoverageEndDateTime left blank. To represent a single period in time, temporalCoverageStartDateTime and temporalCoverageEndDateTime should hold the same value.","Chcete-li znázornit probíhající časové období, měl by být vyplněn údaj temporalCoverageStartDateTime a údaj temporalCoverageEndDateTime by měl zůstat prázdný. Chcete-li reprezentovat jedno časové období, temporalCoverageStartDateTime a temporalCoverageEndDateTime by měly mít stejnou hodnotu.",,,"Pour représenter une période de temps continue, temporalCoverageStartDateTime doit être renseigné et temporalCoverageEndDateTime laissé vide. Pour représenter une période ponctuelle, temporalCoverageStartDateTime et temporalCoverageEndDateTime doivent avoir la même valeur.",,,,,,"This class can be used to reflect the period of time in which specified activities, events and states occurred. Examples might include the time range of the `Event` in which the objects were collected, the period during a `CollectionStatusHistory` over which the collection was actively growing, or the span of time someone was working in a particular `PersonRole`. If the time period you are trying to describe is better described by a categorical label rather than a date, `GeologicalContext`, `ChronometricAge` or `ObjectGroup.period` may be more suitable. ","Tuto třídu lze použít k vyjádření časového období, ve kterém došlo k určitým činnostem, událostem a stavům. Příkladem může být časový rozsah `Event`, ve kterém byly objekty shromážděny, období během `CollectionStatusHistory`, ve kterém sbírka aktivně rostla, nebo časové rozpětí, ve kterém někdo pracoval v určité `PersonRole`. Pokud je časové období, které se snažíte popsat, lépe popsáno kategoriálním označením než datem, mohou být vhodnější `GeologicalContext`, `ChronometricAge` nebo `ObjectGroup.period`. ",,,"Cette classe peut être utilisée pour refléter la période de temps au cours de laquelle des activités, des événements et des états spécifiques se sont produits. Les exemples peuvent inclure l'intervalle de temps de l'`Event` au cours duquel les objets ont été collectés, la période durant un `CollectionStatusHistory` au cours de laquelle la collection s'est activement développée, ou la période durant laquelle une personne a travaillé dans un `PersonRole` particulier. Si la période que vous essayez de décrire est mieux appréhendée par un label catégorique que par une date, `GeologicalContext`, `ChronometricAge` ou `ObjectGroup.period` peuvent être plus adaptés. ",,,,,,,,,,,,,,,
addressType,Address Type,Typ adresy,,,Type d'Adresse,,,,,,"A person or organization can have different addresses, for different purposes. For example, a postal address, a loan address, an address for visits and so on. This property is used to specify the kind of address.","Osoba nebo organizace může mít různé adresy pro různé účely. Například poštovní adresu, adresu pro půjčky, adresu pro návštěvy a podobně. Tato vlastnost slouží k určení druhu adresy.",,"Una persona u organización puede tener diferentes direcciones, para diferentes propósitos. Por ejemplo, una dirección postal, una dirección para préstamos, una dirección para visitas, etc. Esta propiedad se utiliza para especificar el tipo de dirección.","Une personne ou une organisation peut avoir plusieurs adresses, à des fins différentes. Par exemple, une adresse postale, une adresse de prêt, une adresse pour les visites, etc. Cette propriété est utilisée pour spécifier le type d'adresse.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasIdentifier,Has Identifier,Má identifikátor,,,A pour Identifiant,,,,,,This property refers to one or more related instances of the Identifier class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy Identifier.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe Identifier.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasMeasurementOrFact,Has Measurement Or Fact,Má měření nebo fakt,,,A pour Mesure ou Fait,,,,,,This property refers to one or more related instances of the MeasurementOrFact class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy MeasurementOrFact.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe MeasurementOrFact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasReference,Has Reference,Má odkaz,,,A pour Référence,,,,,,This property refers to one or more related instances of the Reference class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy Reference.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe Reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hasTemporalCoverage,Has Temporal Coverage,Má časový rozsah,,,A pour Couverture Temporelle,,,,,,This property refers to one or more related instances of the TemporalCoverage class.,Tato vlastnost odkazuje na jednu nebo více souvisejících instancí třídy TemporalCoverage.,,,Cette propriété fait référence à une ou plusieurs instances associées de la classe TemporalCoverage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
status,Status,Stav,,,Statut,,,,,,The development status of the collection during a specified period.,Vývojový stav sbírky v určitém období.,,,Le statut de développement de la collection au cours d'une période donnée.,,,,,,,,,,,,,,,,The values/vocabularies for a status are predicated by the statusType. The in the examples mentioned terms are a cumulative list of terms associated with several different statusTypes.,Hodnoty/slovníky pro stav jsou předurčeny statusType. V příkladech uvedené termíny jsou kumulativním seznamem termínů spojených s několika různými statusTypes.,,,"Les valeurs/vocabulaires d'un statut sont déterminées par le statusType. Dans les exemples, les termes mentionnés sont une liste cumulative de termes associés à plusieurs statusTypes différents.",,,,,,,,,,,,,,,
statusChangeReason,Status Change Reason,Důvod změny stavu,,,Raison de Modification du Statut,,,,,,An explanation of why the collection transitioned to the value set in the status property.,"Vysvětlení, proč sbírka přešla na hodnotu nastavenou ve vlastnosti stav.",,,Une explication de la raison pour laquelle la collection est passée à la valeur indiquée dans la propriété Status.,,,,,,,,,,,,,,,,statusChangeReason should be aligned with the value of statusType.,statusChangeReason by měl být sladěn s hodnotou statusType.,,,statusChangeReason doit être alignée sur la valeur de statusType.,,,,,,,,,,,,,,,
statusType,Status Type,Typ stavu,,,Type de Statut,,,,,,A top-level classification of the different categories of status that can be applied to the collection.,"Klasifikace na nejvyšší úrovni různých kategorií stavu, které lze na sbírku použít.",,,Une classification de haut niveau des différentes catégories de statuts qui peuvent être appliquées à la collection.,,,,,,,,,,,,,,,,statusType forms the top level of a two-level hierarchy with the status property. Recommended best practice is to use a controlled vocabulary.,statusType tvoří nejvyšší úroveň dvouúrovňové hierarchie s vlastností status. Doporučeným osvědčeným postupem je použití řízeného slovníku.,,,statusType forme le niveau supérieur d'une hiérarchie à deux niveaux avec la propriété status. La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,,,,,,,,,,,,
contactDetailCategory,Contact Detail Category,Kategorie podrobností kontaktu,,,Catégorie des Coordonnées de Contact,,,,,,The method of contact to which the contact detail applies.,"Způsob kontaktu, na který se údaj o kontaktu vztahuje.",,,La méthode de contact à laquelle se rapporte la coordonnée.,,,,,,,,,,,,,,,,Recommended practice is to use a controlled vocabulary.,Doporučeným postupem je používat řízený slovník.,,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,,,,,,,,,,,,
contactDetailFunction,Contact Detail Function,Detail kontaktu Funkce,,,Rôle des Coordonnées de Contact,,,,,,A brief label describing the nature of the enquiry or enquiries that are appropriate to direct to the contact detail.,"Stručné označení popisující povahu dotazu nebo dotazů, které je vhodné směřovat na kontaktní údaje.",,,Une brève indication de la nature de la demande ou des demandes qu'il convient d'adresser à la personne de contact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
