term_localName,label_en,label_cs,label_de,label_es,label_fr,label_ko,label_nl,label_pt,label_ru,label_zh-Hans,label_zh-Hant,rdfs_comment_en,rdfs_comment_cs,rdfs_comment_de,rdfs_comment_es,rdfs_comment_fr,rdfs_comment_ko,rdfs_comment_nl,rdfs_comment_pt,rdfs_comment_ru,rdfs_comment_zh-Hans,rdfs_comment_zh-Hant,dcterms_description_en,dcterms_description_cs,dcterms_description_de,dcterms_description_es,dcterms_description_fr,dcterms_description_ko,dcterms_description_nl,dcterms_description_pt,dcterms_description_ru,dcterms_description_zh-Hans,dcterms_description_zh-Hant,examples_en,examples_cs,examples_de,examples_es,examples_fr,examples_ko,examples_nl,examples_pt,examples_ru,examples_zh-Hans,examples_zh-Hant
georeferenceProtocol,Georeference Protocol,Protokol georeference,,Protocolo de georreferenciación,Protocole de géoréférencement,,,,Протокол геопривязки,,地理點位紀錄方法,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.","Popis nebo odkaz na metody použité k určení prostorové stopy, souřadnic a neurčitostí.",,"Una descripción o referencia a los métodos utilizados para determinar el footprint espacial, coordenadas e incertidumbres.","Une description ou une référence aux méthodes utilisées pour déterminer l'emprise au sol, les coordonnées et les incertitudes.",,,,"Описание или ссылка на методы, использованные для определения пространственного охвата, координат и погрешностей.",,,,,,,,,,,,,,,,,,,,,,,,
georeferenceRemarks,Georeference Remarks,Poznámky ke georeferenci,,Comentarios de la georreferenciación,Remarques sur le géoréférencement,,,,Примечания к геопривязке,,地理點位紀錄備註,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
georeferenceSources,Georeference Sources,Zdroje georeferencí,,Fuentes de georreferenciación,Sources du géoréférencement,,,,Источники геопривязки,,地理點位紀錄平台,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.",,,,,,,,,,,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `).,,,La pratique optimale recommandée consiste à séparer les valeurs d'une liste par une barre verticale (` | `).,,,,"Рекомендуемой лучшей практикой является разделение значений в списке с помощью пробела, вертикальной черты и пробела (` | `).",,,,,,,,,,,,,
georeferenceVerificationStatus,Georeference Verification Status,Stav ověření georeference,,Estado de la verificación de la georreferenciación,Statut de vérification du géoréférencement,,,,Статус верефикации геопривязки,,,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary.,Doporučeným osvědčeným postupem je používat řízený slovník.,,,La pratique optimale recommandée est d'utiliser un vocabulaire contrôlé.,,,,Рекомендуется использовать контролируемый словарь.,,,,,,,,,,,,,
higherGeography,Higher Geography,Vyšší geografie,,,Géographie supérieure,,,,Вышестоящие географические единицы,,概略地理描述,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.,,,,,,,,,,,"Recommended best practice is to separate the values in a list with space vertical bar space (` | `), with terms in order from least specific to most specific.",Doporučeným postupem je oddělovat hodnoty v seznamu mezerou svislou čarou mezerou (` | `) a termíny řadit od nejméně specifických po nejvíce specifické.,,,"La pratique optimale recommandée est de séparer les valeurs dans une liste par des barres verticales (` | `), les termes étant classés du moins précis au plus précis.",,,,"Рекомендуемой практикой является разделение значений в списке с помощью пробела, вертикальной черты и пробела (` | `), при этом термины должны быть упорядочены от высшего таксономического ранга к низшему.",,,"`North Atlantic Ocean`. `South America | Argentina | Patagonia | Parque Nacional Nahuel Huapi | Neuquén | Los Lagos` (with accompanying values `South America` in continent, `Argentina` in country, `Neuquén` in stateProvince, and `Los Lagos` in county.",,,,,,,,,,
higherGeographyID,Higher Geography ID,ID vyšší geografie,,,Identifiant de la géographie supérieure,,,,ID вышестоящей географические единицы,,概略地理描述ID,An identifier for the geographic region within which the Location occurred.,,,,,,,,,,,Recommended best practice is to use a persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je použití trvalého identifikátoru z řízeného slovníku, jako je například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un identifiant permanent issu d'un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой практикой является использование постоянного идентификатора из контролируемого словаря, такого как Getty Thesaurus of Geographic Names.",,,"`http://vocab.getty.edu/tgn/1002002` (Antártida e Islas del Atlántico Sur, Territorio Nacional de la Tierra del Fuego, Argentina).","`http://vocab.getty.edu/tgn/1002002` (Antarktida a ostrovy v jižním Atlantiku, Národní území Ohňová země, Argentina).",,,"`http://vocab.getty.edu/tgn/1002002` (Antártida e Islas del Atlántico Sur, Territorio Nacional de la Tierra del Fuego, Argentina).",,,,"`http://vocab.getty.edu/tgn/1002002` (Antártida e Islas del Atlántico Sur, Territorio Nacional de la Tierra del Fuego, Argentina).",,
island,Island,Ostrov,,,Île,,,,Остров,,島嶼,The name of the island on or near which the Location occurs.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
islandGroup,Island Group,Skupina ostrovů,,,Groupement d'îles,,,,Группа островов,,島群,The name of the island group in which the Location occurs.,,,,,,,,,,,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Doporučeným osvědčeným postupem je používat řízený slovník, například Getty Thesaurus of Geographic Names.",,,La pratique optimale recommandée consiste à utiliser un vocabulaire contrôlé tel que le Getty Thesaurus of Geographic Names.,,,,"Рекомендуемой лучшей практикой является использование контролируемого словаря, такого как Гетти-тезаурус географических названий (Getty Thesaurus of Geographic Names).",,,,,,,,,,,,,
locality,Locality,Lokalita,,,Localité,,,,Локалитет,,地區,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locationAccordingTo,Location According To,Poloha podle,,Ubicación de acuerdo con,Localité selon,,,,Источник сведений о местонахождении,,地點根據於,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locationID,Location ID,ID lokality,,,Identifiant de la localité,,,,Идентификатор локалитета,,地點ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
locationRemarks,Location Remarks,Poznámky k poloze,,Comentarios de la ubicación,Remarques sur la localité,,,,Примечания к локалитету,,地點補註,Comments or notes about the Location.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maximumDepthInMeters,Maximum Depth In Meters,Maximální hloubka v metrech,,Profundidad máxima en metros,Profondeur maximale en mètres,,,,Максимальная глубина в метрах,,最大深度(公尺),"The greater depth of a range of depth below the local surface, in meters.",Větší hloubka rozsahu hloubky pod místním povrchem v metrech.,,"La mayor profundidad de un rango de profundidad por debajo de la superficie local, en metros.","La plus grande profondeur d'une plage de profondeur sous la surface locale, en mètres.",,,,"Наибольшее значение диапазона глубины под поверхностью, в метрах.",,,,,,,,,,,,,,,,,,,,,,,,
maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters,Maximální vzdálenost nad povrchem v metrech,,Distancia máxima de la superficie en metros,Distance maximale au-dessus de la surface en mètres,,,,Максимальная высота над поверхностью в метрах,,最大表面垂直距離,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.","Větší vzdálenost v rozsahu vzdálenosti od referenční plochy ve svislém směru v metrech. Kladné hodnoty použijte pro místa nad povrchem, záporné hodnoty pro místa pod povrchem. Pokud jsou uvedeny míry hloubky, je referenčním povrchem místo dané hloubkou, jinak je referenčním povrchem místo dané nadmořskou výškou.",,"La mayor distancia en metros, en un rango de distancia desde una superficie de referencia en dirección vertical. Use valores positivos para ubicaciones por encima de la superficie y valores negativos para ubicaciones por debajo de ella. Si las medidas de profundidad son proporcionadas, la superficie de referencia es la ubicación determinada por la profundidad, de lo contrario la superficie de referencia es la ubicación dada por la elevación.","La plus grande distance d'une plage de distances par rapport à une surface de référence dans la dimension verticale, en mètres. Utilisez des valeurs positives pour les emplacements situés au-dessus de la surface, et des valeurs négatives pour les emplacements situés en dessous. Si des mesures de profondeur sont données, la surface de référence est l'emplacement donné par la profondeur, sinon la surface de référence est l'emplacement donné par l'élévation.",,,,"Большее расстояние в диапазоне расстояния от опорной поверхности в вертикальном направлении, в метрах. Используйте положительные значения для точек выше поверхности, отрицательные для точек ниже. Если приведены замеры глубины, то опорной поверхностью является местоположение, указанное по глубине, в противном случае опорной поверхностью является местоположение, указанное по высоте над уровнем моря.",,,,,,,,,,,,,,"`-1.5` (below the surface). `4.2` (above the surface). For a 1.5 meter sediment core from the bottom of a lake (at depth 20m) at 300m elevation: verbatimElevation: `300m` minimumElevationInMeters: `300`, maximumElevationInMeters: `300`, verbatimDepth: `20m`, minimumDepthInMeters: `20`, maximumDepthInMeters: `20`, minimumDistanceAboveSurfaceInMeters: `0`, maximumDistanceAboveSurfaceInMeters: `-1.5`.",,,,,,,,,,
maximumElevationInMeters,Maximum Elevation In Meters,Maximální nadmořská výška v metrech,,,Altitude maximale en mètres,,,,Максимальная высота над уровнем моря в метрах,,最低海拔(公尺),"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",Horní hranice rozsahu výšky (obvykle nad mořem) v metrech.,,,"Limite supérieure de la plage d'élévation (altitude, généralement au-dessus du niveau de la mer), en mètres.",,,,"Верхний предел диапазона высоты (над уровнем моря), в метрах.",,,,,,,,,,,,,,,,,,,,,,,,
minimumDepthInMeters,Minimum Depth In Meters,Minimální hloubka v metrech,,,Profondeur minimale en mètres,,,,Минимальная глубина в метрах,,最小深度（公尺）,"The lesser depth of a range of depth below the local surface, in meters.",Menší hloubka rozsahu hloubky pod místním povrchem v metrech.,,,"La plus petite profondeur d'une plage de profondeur sous la surface locale, en mètres.",,,,"Меньшая глубина диапазона глубины под местной поверхностью, в метрах.",,,,,,,,,,,,,,,,,,,,,,,,
