document_modified,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,skos_scopeNote,dcterms_description,rdf_type,tdwgutility_organizedInClass,tdwgutility_decision,tdwgutility_layer,tdwgutility_required,tdwgutility_repeatable
2017-09-23T06:53:00-05:00,continent,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Continent,The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,coordinatePrecision,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Coordinate Precision,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,coordinateUncertaintyInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Coordinate Uncertainty In Meters,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,country,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Country,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,countryCode,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Country Code,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,county,http://rs-test.tdwg.org/dwc/terms/,,,,,,,County,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,decimalLatitude,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Decimal Latitude,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,decimalLongitude,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Decimal Longitude,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,footprintSpatialFit,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Footprint Spatial Fit,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,footprintSRS,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Footprint SRS,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,footprintWKT,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Footprint WKT,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,geodeticDatum,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Geodetic Datum,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,georeferencedBy,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Georeferenced By,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,georeferenceProtocol,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Georeference Protocol,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,georeferenceRemarks,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Georeference Remarks,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,georeferenceSources,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Georeference Sources,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,georeferenceVerificationStatus,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Georeference Verification Status,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,higherGeography,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Higher Geography,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,higherGeographyID,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Higher Geography ID,An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,island,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Island,The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,islandGroup,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Island Group,The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,locality,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,locationAccordingTo,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Location According To,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,locationID,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Location ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,locationRemarks,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Location Remarks,Comments or notes about the Location.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,maximumDepthInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Maximum Depth In Meters,"The greater depth of a range of depth below the local surface, in meters.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,maximumDistanceAboveSurfaceInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Maximum Distance Above Surface In Meters,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,maximumElevationInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Maximum Elevation In Meters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,minimumDepthInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Minimum Depth In Meters,"The lesser depth of a range of depth below the local surface, in meters.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,minimumDistanceAboveSurfaceInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Minimum Distance Above Surface In Meters,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,minimumElevationInMeters,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Minimum Elevation In Meters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,municipality,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,pointRadiusSpatialFit,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Point Radius Spatial Fit,"The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,stateProvince,http://rs-test.tdwg.org/dwc/terms/,,,,,,,State Province,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimCoordinates,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Coordinates,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimCoordinateSystem,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Coordinate System,The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimDepth,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Depth,The original description of the depth below the local surface.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimElevation,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Elevation,"The original description of the elevation (altitude, usually above sea level) of the Location.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimLatitude,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Latitude,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimLocality,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Locality,The original textual description of the place.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimLongitude,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim Longitude,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,verbatimSRS,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Verbatim SRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".",,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
2017-09-23T06:53:00-05:00,waterBody,http://rs-test.tdwg.org/dwc/terms/,,,,,,,Water Body,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://purl.org/dc/terms/Location,,,No,Yes
