termVersion,term,label,definition
http://rs.tdwg.org/dwc/terms/georeferenceRemarks-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,Georeference Remarks,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol."
http://rs.tdwg.org/dwc/terms/georeferenceSources-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceSources,Georeference Sources,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources."
http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,Georeference Verification Status,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.
http://rs.tdwg.org/dwc/terms/higherGeography-2009-04-24,http://rs.tdwg.org/dwc/terms/higherGeography,Higher Geography,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.
http://rs.tdwg.org/dwc/terms/higherGeographyID-2009-04-24,http://rs.tdwg.org/dwc/terms/higherGeographyID,Higher Geography ID,An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/island-2009-04-24,http://rs.tdwg.org/dwc/terms/island,Island,The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/islandGroup-2009-04-24,http://rs.tdwg.org/dwc/terms/islandGroup,Island Group,The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/locality-2009-04-24,http://rs.tdwg.org/dwc/terms/locality,Locality,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description."
http://rs.tdwg.org/dwc/terms/locationAccordingTo-2009-08-24,http://rs.tdwg.org/dwc/terms/locationAccordingTo,Location According To,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals."
http://rs.tdwg.org/dwc/terms/locationID-2009-04-24,http://rs.tdwg.org/dwc/terms/locationID,Location ID,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.
http://rs.tdwg.org/dwc/terms/locationRemarks-2009-04-24,http://rs.tdwg.org/dwc/terms/locationRemarks,Location Remarks,Comments or notes about the Location.
http://rs.tdwg.org/dwc/terms/maximumDepthInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,Maximum Depth In Meters,"The greater depth of a range of depth below the local surface, in meters."
http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation."
http://rs.tdwg.org/dwc/terms/maximumElevationInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,Maximum Elevation In Meters,"The upper limit of the range of elevation (altitude, usually above sea level), in meters."
http://rs.tdwg.org/dwc/terms/minimumDepthInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,Minimum Depth In Meters,"The lesser depth of a range of depth below the local surface, in meters."
http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation."
http://rs.tdwg.org/dwc/terms/minimumElevationInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,Minimum Elevation In Meters,"The lower limit of the range of elevation (altitude, usually above sea level), in meters."
http://rs.tdwg.org/dwc/terms/municipality-2009-08-24,http://rs.tdwg.org/dwc/terms/municipality,Municipality,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location."
http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit-2009-04-24,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,Point Radius Spatial Fit,"The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1."
http://rs.tdwg.org/dwc/terms/stateProvince-2009-04-24,http://rs.tdwg.org/dwc/terms/stateProvince,State Province,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs."
http://rs.tdwg.org/dwc/terms/verbatimCoordinates-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,Verbatim Coordinates,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,Verbatim Coordinate System,The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.
http://rs.tdwg.org/dwc/terms/verbatimDepth-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimDepth,Verbatim Depth,The original description of the depth below the local surface.
http://rs.tdwg.org/dwc/terms/verbatimElevation-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimElevation,Verbatim Elevation,"The original description of the elevation (altitude, usually above sea level) of the Location."
http://rs.tdwg.org/dwc/terms/verbatimLatitude-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLatitude,Verbatim Latitude,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
http://rs.tdwg.org/dwc/terms/verbatimLocality-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLocality,Verbatim Locality,The original textual description of the place.
http://rs.tdwg.org/dwc/terms/verbatimLongitude-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLongitude,Verbatim Longitude,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
http://rs.tdwg.org/dwc/terms/verbatimSRS-2009-07-06,http://rs.tdwg.org/dwc/terms/verbatimSRS,Verbatim SRS,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which coordinates given in verbatimLatitude and verbatimLongitude, or verbatimCoordinates are based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown""."
http://rs.tdwg.org/dwc/terms/waterBody-2009-04-24,http://rs.tdwg.org/dwc/terms/waterBody,Water Body,The name of the water body in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
