term,label,class,layer,definition
http://purl.org/dc/terms/temporal,Temporal Coverage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The coverage (extent or scope) of the content of the resource. Temporal coverage will typically include temporal period (a period label, date, or date range) to which the subjects of the media or media collection relate. If dates are mentioned, they should follow ISO 8601. When the resource is a Collection, this refers to the temporal coverage of the collection. Following dcterms:temporal, the value must be a URI."
http://purl.org/dc/terms/title,Title,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Concise title, name, or brief descriptive label of institution, resource collection, or individual resource. This field should include the complete title with all the subtitles, if any."
http://purl.org/dc/terms/type,Type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A full URI preferably from among the type URIs specified in the DCMI Type Vocabulary. Recommended terms are those URIs whose labels are Collection, StillImage, Sound, MovingImage, InteractiveResource, or Text (e.g. . Also recommended are the full URIs of ac:PanAndZoomImage, ac:3DStillImage, and ac: 3DMovingImage. Values MUST NOT be a string, but a URI with full namespace (e. g. from a controlled vocabulary. Implementers and communities of practice may determine whether specific controlled vocabularies must be used. If the resource is a Collection, this item does not identify what types of objects it may contain. Following the DC recommendations at http://purl.org/dc/dcmitype/Text, images of text should be with this URI."
http://rs.tdwg.org/ac/terms/accessURI,Access URI,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A URI that uniquely identifies a service that provides a representation of the underlying resource. If this resource can be acquired by an http request, its http URL should be given. If not, but it has some URI in another URI scheme, that may be given here."
http://rs.tdwg.org/ac/terms/associatedObservationReference,Associated Observation Reference,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A reference to an observation associated with this resource.
http://rs.tdwg.org/ac/terms/associatedSpecimenReference,Associated Specimen Reference,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A reference to a specimen associated with this resource.
http://rs.tdwg.org/ac/terms/attributionLinkURL,Attribution Link URL,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"The URL where information about ownership, attribution, etc. of the resource may be found."
http://rs.tdwg.org/ac/terms/attributionLogoURL,Attribution URL,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The URL of the icon or logo image to appear in source attribution.
http://rs.tdwg.org/ac/terms/caption,Caption,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"As alternative or in addition to description, a caption is free-form text to be displayed together with (rather than instead of) a resource that is suitable for captions (especially images)."
http://rs.tdwg.org/ac/terms/captureDevice,Capture Device,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,Free form text describing the device or devices used to create the resource.
http://rs.tdwg.org/ac/terms/commenter,Commenter,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A URI denoting a person, using some controlled vocabulary such as FOAF. Implementers and communities of practice may produce restrictions or recommendations on the choice of vocabularies."
http://rs.tdwg.org/ac/terms/commenterLiteral,Commenter,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A name or the literal ""anonymous"" (= anonymously commented)."
http://rs.tdwg.org/ac/terms/comments,Comments,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Any comment provided on the media resource, as free-form text. Best practice would also identify the commenter."
http://rs.tdwg.org/ac/terms/derivedFrom,Derived From,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A reference to an original resource from which the current one is derived.
http://rs.tdwg.org/ac/terms/digitizationDate,Date and Time Digitized,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Date the first digital version was created, if different from Original Date and Time found in the Temporal Coverage Vocabulary. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples."
http://rs.tdwg.org/ac/terms/fundingAttribution,Funding,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Organizations or individuals who funded the creation of the resource.
http://rs.tdwg.org/ac/terms/furtherInformationURL,Further Information URL,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The URL of a Web site that provides additional information about the version of the media resource that is provided by the Service Access Point.
http://rs.tdwg.org/ac/terms/hashFunction,Hash Function,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The cryptographic hash function used to compute the value given in the Hash Value.
http://rs.tdwg.org/ac/terms/hashValue,Hash,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The value computed by a hash function applied to the media that will be delivered at the access point.
http://rs.tdwg.org/ac/terms/hasServiceAccessPoint,Service Access Point,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"In a chosen serialization (RDF, XML Schema, etc.) the potentially multiple service access points (e.g., for different resolutions of an image) might be provided in a referenced or in a nested object. This property identifies one such access point. That is, each of potentially multiple values of hasServiceAccessPoint identifies a set of representation-dependent metadata using the properties defined under the section Service Access Point Vocabulary."
http://rs.tdwg.org/ac/terms/IDofContainingCollection,ID of Containing Collection,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"If the resource is contained in a Collection, this field identifies that Collection uniquely. Its form is not specified by this normative document, but is left to implementers of specific implementations."
http://rs.tdwg.org/ac/terms/licenseLogoURL,License Logo URL,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,A URL providing access to a logo that symbolizes the License.
http://rs.tdwg.org/ac/terms/licensingException,Licensing Exception Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The licensing statement for this variant of the media resource if different from that given in the License Statement property of the resource.
http://rs.tdwg.org/ac/terms/metadataCreator,Metadata Creator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Person or organization originally creating the resource metadata record.
http://rs.tdwg.org/ac/terms/metadataCreatorLiteral,Metadata Creator,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Person or organization originally creating the resource metadata record.
http://rs.tdwg.org/ac/terms/metadataLanguage,Metadata Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,URI from the ISO639-2 list of URIs for ISO 3-letter language codes.
http://rs.tdwg.org/ac/terms/metadataLanguageLiteral,Metadata Language,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Language of description and other metadata (but not necessarily of the image itself) represented as an ISO639-2 three letter language code. ISO639-1 two-letter codes are permitted but deprecated.
http://rs.tdwg.org/ac/terms/metadataProvider,Metadata Provider,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,URI of person or organization originally responsible for providing the resource metadata record.
http://rs.tdwg.org/ac/terms/metadataProviderLiteral,Metadata Provider,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Person or organization originally responsible for providing the resource metadata record.
http://rs.tdwg.org/ac/terms/otherScientificName,Other Scientific Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,One or several Scientific Taxon Names that are synonyms to the Scientific Taxon Name may be provided here.
http://rs.tdwg.org/ac/terms/physicalSetting,Physical Setting,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The setting of the content represented in media such as images, sounds, and movies if the provider deems them relevant. Constrained vocabulary of: ""Natural"" = Object in its natural setting of the object (e. g. living organisms in their natural environment); ""Artificial"" = Object in an artificial environment (e. g. living organisms in an artificial environment such as a zoo, garden, greenhouse, or laboratory); ""Edited"" = Human media editing of a natural setting or media acquisition with a separate media background such as a photographic backdrop."
http://rs.tdwg.org/ac/terms/provider,Provider,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"URI for person or organization responsible for presenting the media resource. If no separate Metadata Provider is given, this also attributes the metadata."
http://rs.tdwg.org/ac/terms/providerID,Provider ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,A globally unique ID of the provider of the current AC metadata record.
http://rs.tdwg.org/ac/terms/providerLiteral,Provider,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Person or organization responsible for presenting the media resource. If no separate Metadata Provider is given, this also attributes the metadata."
http://rs.tdwg.org/ac/terms/providerManagedID,Provider-managed ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A free-form identifier (a simple number, an alphanumeric code, a URL, etc.) that is unique and meaningful primarily for the data provider."
http://rs.tdwg.org/ac/terms/relatedResourceID,Related Resource ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Resource related in ways not specified through a collection, e.g., before-after images; time-lapse series; different orientations/angles of view"
http://rs.tdwg.org/ac/terms/resourceCreationTechnique,Resource Creation Technique,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Information about technical aspects of the creation and digitization process of the resource. This includes modification steps (""retouching"") after the initial resource capture."
http://rs.tdwg.org/ac/terms/reviewer,Reviewer,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"URI for a reviewer. If present, then resource is peer-reviewed, even if there are Reviewer Comments is absent or empty. Its presence tells whether an expert in the subject featured in the media has reviewed the media item or collection and approved its metadata description; must display a name or the literal ""anonymous"" (= anonymously reviewed)."
http://rs.tdwg.org/ac/terms/reviewerComments,Reviewer Comments,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Any comment provided by a reviewer with expertise in the subject, as free-form text."
http://rs.tdwg.org/ac/terms/reviewerLiteral,Reviewer,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"String providing the name of a reviewer. If present, then resource is peer-reviewed, even if Reviewer Comments is absent or empty. Its presence tells whether an expert in the subject featured in the media has reviewed the media item or collection and approved its metadata description; must display a name or the literal ""anonymous"" (= anonymously reviewed)."
http://rs.tdwg.org/ac/terms/serviceExpectation,Service Expectation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A term that describes what service expectations users may have of the ac:accessURL. Recommended terms include online (denotes that the URL is expected to deliver the resource), authenticate (denotes that the URL delivers a login or other authentication interface requiring completion before delivery of the resource) published(non digital) (denotes that the URL is the identifier of a non-digital published work, for example a doi.) Communities should develop their own controlled vocabularies for Service Expectations."
http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,Subject Category Vocabulary,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.
http://rs.tdwg.org/ac/terms/subjectOrientation,Subject Orientation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Specific orientation (= direction, view angle) of the subject represented in the media resource with respect to the acquisition device."
http://rs.tdwg.org/ac/terms/subjectPart,Subject Part,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The portion or product of organism morphology, behaviour, environment, etc. that is either predominantly shown or particularly well exemplified by the media resource."
http://rs.tdwg.org/ac/terms/subtype,Subtype,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Any URI may be used that provides for more specialization than the type. Possible values are community-defined. For exmamples see the non-normative page AC_Subtype_Examples.
http://rs.tdwg.org/ac/terms/subtypeLiteral,Subtype,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,The subtype should provide more specialization than the type. Possible values are community-defined. For exmamples see the non-normative page AC_Subtype_Examples.
http://rs.tdwg.org/ac/terms/tag,Tag,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,General keywords or tags.
http://rs.tdwg.org/ac/terms/taxonCount,Taxon Count,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,An exact or estimated number of taxa at the lowest applicable taxon rank (usually species or infraspecific) represented by the media resource (item or collection).
http://rs.tdwg.org/ac/terms/taxonCoverage,Taxon Coverage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A higher taxon (e. g., a genus, family, or order) at the level of the genus or higher, that covers all taxa that are the primary subject of the resource (which may be a media item or a collection)."
http://rs.tdwg.org/ac/terms/timeOfDay,Time of Day,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Free text information beyond exact clock times.
http://rs.tdwg.org/ac/terms/variant,Variant,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A URI designating what this Service Access Point provides. Some suggested values are the URIs ac:Thumbnail, ac:Trailer, ac:LowerQuality, ac:MediumQuality, ac:GoodQuality, ac:BestQuality, and ac:Offline. Additional URIs from communities of practice may be introduced."
http://rs.tdwg.org/ac/terms/variantDescription,Variant Description,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,Text that describes this Service Access Point variant
http://rs.tdwg.org/ac/terms/variantLiteral,Variant,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,Text that describes this Service Access Point variant.
http://rs.tdwg.org/dwc/terms/dateIdentified,Date Identified,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The date on which the person(s) given under Identfied By applied a Scientific Taxon Name to the resource.
http://rs.tdwg.org/dwc/terms/identificationQualifier,Identification Qualifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A brief phrase or a standard abbreviation (""cf. genus"", ""cf. species"", ""cf. var."", ""aff. species"", etc.) to express the determiner's doubts with respect to a specified taxonomic rank about the identification given in Scientific Taxon Name."
http://rs.tdwg.org/dwc/terms/identifiedBy,Identified By,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The name(s) of the person(s) who applied the Scientific Taxon Name to the media item or the occurrence represented in the media item.
http://rs.tdwg.org/dwc/terms/lifeStage,Subject Life Stage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A description of the life-cycle stage of any organisms featured within the media, when relevant to the subject of the media, e. g., larvae, juvenile, adult."
http://rs.tdwg.org/dwc/terms/nameAccordingTo,Name According To,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The taxonomic authority used to apply the name to the taxon, e. g., a person, book or web service."
http://rs.tdwg.org/dwc/terms/preparations,Subject Preparation Technique,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Free form text describing the techniques used to prepare the subject of the media, prior to or while creating the media resource."
http://rs.tdwg.org/dwc/terms/scientificName,Scientific Taxon Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Scientific names of taxa represented in the media resource (with date and name authorship information if available) of the lowest level taxonomic rank that can be applied.
http://rs.tdwg.org/dwc/terms/scientificNameID,Scientific Name ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,An identifier for the nomenclatural (not taxonomic) details of a scientific name.
http://rs.tdwg.org/dwc/terms/sex,Subject Sex,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A description of the sex of any organisms featured within the media, when relevant to the subject of the media, e. g., male, female, hermaphrodite, dioecious."
http://rs.tdwg.org/dwc/terms/vernacularName,Common Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Common (= vernacular) names of the subject in one or several languages. The ISO language name should be given in parentheses after the name if not all names are given by values of the Metadata Language term.
