document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,term_localName,term_isDefinedBy,term_created,term_modified,term_deprecated,replaces_term,replaces1_term,replaces2_term,label,rdfs_comment,dcterms_description,rdf_type,rdfs_subPropertyOf,dwcattributes_abcdEquivalence,dwcattributes_organizedInClass,dwcattributes_decision,rdfs_seeAlso,rdf_about
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/establishmentMeans-2015-03-27,establishmentMeans-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,establishmentMeans,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Establishment Means (IRI),The process by which the biological individual(s) represented in the Occurrence became established at the location. Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/EstablishmentMeans,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/establishmentMeans,http://rs.tdwg.org/dwc/iri/establishmentMeans-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/fieldNotes-2015-03-27,fieldNotes-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,fieldNotes,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Field Notes (IRI),"One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.",The subject is a dwc:Event instance and the object is a (possibly IRI-identified) resource that is the field notes.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/FieldNotes,http://rs.tdwg.org/dwc/terms/Event,,http://rs.tdwg.org/dwc/terms/fieldNotes,http://rs.tdwg.org/dwc/iri/fieldNotes-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/fieldNumber-2015-03-27,fieldNumber-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,fieldNumber,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Field Number (IRI),An identifier given to the event in the field. Often serves as a link between field notes and the Event.,The subject is a (possibly IRI-identified) resource that is the field notes and the object is a dwc:Event instance.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Code,http://rs.tdwg.org/dwc/terms/Event,,http://rs.tdwg.org/dwc/terms/fieldNumber,http://rs.tdwg.org/dwc/iri/fieldNumber-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/footprintSRS-2015-03-27,footprintSRS-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,footprintSRS,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Footprint SRS (IRI),"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/footprintSRS,http://rs.tdwg.org/dwc/iri/footprintSRS-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/footprintWKT-2015-03-27,footprintWKT-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,footprintWKT,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Footprint WKT (IRI),"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/FootprintWKT (ABCD v2.06b),http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/footprintWKT,http://rs.tdwg.org/dwc/iri/footprintWKT-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/fromLithostratigraphicUnit-2015-03-27,fromLithostratigraphicUnit-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,fromLithostratigraphicUnit,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,From Lithostratigraphic Unit,Use to link a dwc:GeologicalContext instance to an IRI-identified lithostratigraphic unit at the lowest possible level in a hierarchy. Recommended best practice is to use an IRI from a controlled vocabulary.,"A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.7 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,,http://rs.tdwg.org/dwc/iri/fromLithostratigraphicUnit-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/geodeticDatum-2015-03-27,geodeticDatum-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,geodeticDatum,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Geodetic Datum (IRI),"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown"".",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinatesLatLon/SpatialDatum,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/geodeticDatum,http://rs.tdwg.org/dwc/iri/geodeticDatum-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/georeferenceProtocol-2015-03-27,georeferenceProtocol-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,georeferenceProtocol,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Georeference Protocol (IRI),"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/CoordinateMethod,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,http://rs.tdwg.org/dwc/iri/georeferenceProtocol-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/georeferenceSources-2015-03-27,georeferenceSources-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,georeferenceSources,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Georeference Sources (IRI),"A map, gazetteer, or other resource used to georeference the Location.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceSources,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/georeferenceSources,http://rs.tdwg.org/dwc/iri/georeferenceSources-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/georeferenceVerificationStatus-2015-03-27,georeferenceVerificationStatus-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,georeferenceVerificationStatus,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Georeference Verification Status (IRI),A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceVerificationStatus,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,http://rs.tdwg.org/dwc/iri/georeferenceVerificationStatus-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/habitat-2015-03-27,habitat-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,habitat,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Habitat (IRI),A category or description of the habitat in which the Event occurred.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/Biotope/Text,http://rs.tdwg.org/dwc/terms/Event,,http://rs.tdwg.org/dwc/terms/habitat,http://rs.tdwg.org/dwc/iri/habitat-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/identificationQualifier-2015-03-27,identificationQualifier-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,identificationQualifier,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Identification Qualifier (IRI),A controlled value to express the determiner's doubts about the Identification.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Identifications/Identification/TaxonIdentified/IdentificationQualifier,http://rs.tdwg.org/dwc/terms/Identification,,http://rs.tdwg.org/dwc/terms/identificationQualifier,http://rs.tdwg.org/dwc/iri/identificationQualifier-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/identificationVerificationStatus-2015-03-27,identificationVerificationStatus-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,identificationVerificationStatus,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Identification Verification Status (IRI),A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/Identification,,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,http://rs.tdwg.org/dwc/iri/identificationVerificationStatus-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/inDataset-2015-03-27,inDataset-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,inDataset,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,In Dataset,Use to link a subject dataset record to the dataset which contains it.,A string literal name of the dataset can be provided using the term dwc:datasetName. See the Darwin Core RDF Guide for details.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,,,,http://rs.tdwg.org/dwc/iri/inDataset-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/informationWithheld-2015-03-27,informationWithheld-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,informationWithheld,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Information Withheld (IRI),"Additional information that exists, but that has not been shared in the given record.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/InformationWithheld,,,http://rs.tdwg.org/dwc/terms/informationWithheld,http://rs.tdwg.org/dwc/iri/informationWithheld-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/latestGeochronologicalEra-2015-03-27,latestGeochronologicalEra-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,latestGeochronologicalEra,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Latest Geochronological Era,Use to link a dwc:GeologicalContext instance to chronostratigraphic time periods at the lowest possible level in a standardized hierarchy.   Use this property to point to the latest possible geological time period from which the cataloged item was collected. Recommended best practice is to use an IRI from a controlled vocabulary.,"A ""convenience property"" that replaces Darwin Core literal-value terms related to geological context. See Section 2.7.6 of the Darwin Core RDF Guide for details.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/GeologicalContext,,,http://rs.tdwg.org/dwc/iri/latestGeochronologicalEra-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/lifeStage-2015-03-27,lifeStage-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,lifeStage,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Life Stage (IRI),The age class or life stage of the biological individual(s) at the time the Occurrence was recorded. Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"DataSets/DataSet/Units/Unit/MycologicalUnit/MycologicalSexualStage or DataSets/DataSet/Units/Unit/MycologicalUnit/MycologicalLiveStages/MycologicalLiveStage (Note DwC spec uses ""MycologicalLifeStage"" or DataSets/DataSet/Units/Unit/ZoologicalUnit/PhasesOrStages/PhaseOrStage",http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/lifeStage,http://rs.tdwg.org/dwc/iri/lifeStage-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/locationAccordingTo-2015-03-27,locationAccordingTo-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,locationAccordingTo,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Location According To (IRI),"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://purl.org/dc/terms/Location,,http://rs.tdwg.org/dwc/terms/locationAccordingTo,http://rs.tdwg.org/dwc/iri/locationAccordingTo-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/measurementDeterminedBy-2015-03-27,measurementDeterminedBy-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,measurementDeterminedBy,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Measurement Determined By (IRI),"A person, group, or organization who determined the value of the MeasurementOrFact.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Altitude/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Depth/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Height/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/MeasuredBy or DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/MeasuredBy,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,http://rs.tdwg.org/dwc/terms/measurementDeterminedBy,http://rs.tdwg.org/dwc/iri/measurementDeterminedBy-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/measurementMethod-2015-03-27,measurementMethod-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,measurementMethod,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Measurement Method (IRI),"The method or protocol used to determine the measurement, fact, characteristic, or assertion.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,/DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Method or /DataSets/DataSet/Units/Unit/Gathering/Biotope/MeasurementsOrFacts/MeasurementOrFactAtomised/Method or /DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/SiteMeasurementOrFact/MeasurementOrFactAtomised/Method,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,http://rs.tdwg.org/dwc/terms/measurementMethod,http://rs.tdwg.org/dwc/iri/measurementMethod-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/measurementType-2015-03-27,measurementType-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,measurementType,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Measurement Type (IRI),"The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/MeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Parameter or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/Parameter,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,http://rs.tdwg.org/dwc/terms/measurementType,http://rs.tdwg.org/dwc/iri/measurementType-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/measurementUnit-2015-03-27,measurementUnit-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,measurementUnit,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Measurement Unit (IRI),The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UnitOfMeasurement or DataSets/DataSet/Units/Unit/Gathering/SiteMeasurementsOrFacts/MeasurementOrFact/MeasurementOrFactAtomised/UnitOfMeasurement,http://rs.tdwg.org/dwc/terms/MeasurementOrFact,,http://rs.tdwg.org/dwc/terms/measurementUnit,http://rs.tdwg.org/dwc/iri/measurementUnit-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/occurrenceStatus-2015-03-27,occurrenceStatus-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,occurrenceStatus,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Occurrence Status (IRI),A statement about the presence or absence of a Taxon at a Location. Recommended best practice is to use a controlled vocabulary.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/occurrenceStatus,http://rs.tdwg.org/dwc/iri/occurrenceStatus-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/organismQuantityType-2015-03-27,organismQuantityType-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,organismQuantityType,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Organism Quantity Type (IRI),The type of quantification system used for the quantity of organisms.,An organismQuantityType must have a corresponding organismQuantity.,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,not in ABCD,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/organismQuantityType,http://rs.tdwg.org/dwc/iri/organismQuantityType-2015-03-27
2017-09-23T06:53:00-05:00,http://rs.tdwg.org/dwc/iri/version/preparations-2015-03-27,preparations-2015-03-27,http://rs.tdwg.org/dwc/iri/version/,2015-03-27,recommended,,,,preparations,http://rs.tdwg.org/dwc/iri/,2015-03-27,2015-03-27,,,,,Preparations (IRI),A preparation or preservation method for a specimen.,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,DataSets/DataSet/Units/Unit/SpecimenUnit/Preparations/PreparationsText,http://rs.tdwg.org/dwc/terms/Occurrence,,http://rs.tdwg.org/dwc/terms/preparations,http://rs.tdwg.org/dwc/iri/preparations-2015-03-27
