version,term,label,class,layer,definition
http://dublincore.org/usage/terms/history/#modified-003,http://purl.org/dc/terms/modified,Modified,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Date that the media resource was altered. The date and time must comply with the World Wide Web Consortium (W3C) datetime practice, which requires that date and time representation correspond to ISO 8601:1998, but with year fields always comprising 4 digits. This makes datetime records compliant with 8601:2004. AC datetime values may also follow 8601:2004 for ranges by separating two IS0 8601 datetime fields by a solidus (""forward slash"", '/'). See also the wikipedia IS0 8601 entry for further explanation and examples."
http://dublincore.org/usage/terms/history/#rightsT-001,http://purl.org/dc/terms/rights,Copyright Statement,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A URI pointing to structured information about rights held in and over the resource. Examples include and . At least one of dcterms:rights and dc:rights must be supplied but, when feasible, supplying both may make the metadata more widely useful. They must specify the same rights. In case of ambiguity, dcterms:rights prevails."
http://dublincore.org/usage/terms/history/#sourceT-001,http://purl.org/dc/terms/source,Published Source,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,URI for an identifiable source from which the described resources was derived.
http://dublincore.org/usage/terms/history/#temporal-003,http://purl.org/dc/terms/temporal,Temporal Coverage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The coverage (extent or scope) of the content of the resource. Temporal coverage will typically include temporal period (a period label, date, or date range) to which the subjects of the media or media collection relate. If dates are mentioned, they should follow ISO 8601. When the resource is a Collection, this refers to the temporal coverage of the collection. Following dcterms:temporal, the value must be a URI."
http://dublincore.org/usage/terms/history/#titleT-002,http://purl.org/dc/terms/title,Title,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"Concise title, name, or brief descriptive label of institution, resource collection, or individual resource. This field should include the complete title with all the subtitles, if any."
http://dublincore.org/usage/terms/history/#typeT-001,http://purl.org/dc/terms/type,Type,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A full URI preferably from among the type URIs specified in the DCMI Type Vocabulary. Recommended terms are those URIs whose labels are Collection, StillImage, Sound, MovingImage, InteractiveResource, or Text (e.g. . Also recommended are the full URIs of ac:PanAndZoomImage, ac:3DStillImage, and ac: 3DMovingImage. Values MUST NOT be a string, but a URI with full namespace (e. g. from a controlled vocabulary. Implementers and communities of practice may determine whether specific controlled vocabularies must be used. If the resource is a Collection, this item does not identify what types of objects it may contain. Following the DC recommendations at http://purl.org/dc/dcmitype/Text, images of text should be with this URI."
http://rs.tdwg.org/dwc/terms/dateIdentified-2009-08-24,http://rs.tdwg.org/dwc/terms/dateIdentified,Date Identified,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The date on which the person(s) given under Identfied By applied a Scientific Taxon Name to the resource.
http://rs.tdwg.org/dwc/terms/identificationQualifier-2009-04-24,http://rs.tdwg.org/dwc/terms/identificationQualifier,Identification Qualifier,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,"A brief phrase or a standard abbreviation (""cf. genus"", ""cf. species"", ""cf. var."", ""aff. species"", etc.) to express the determiner's doubts with respect to a specified taxonomic rank about the identification given in Scientific Taxon Name."
http://rs.tdwg.org/dwc/terms/identifiedBy-2014-10-23,http://rs.tdwg.org/dwc/terms/identifiedBy,Identified By,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,The name(s) of the person(s) who applied the Scientific Taxon Name to the media item or the occurrence represented in the media item.
http://rs.tdwg.org/dwc/terms/lifeStage-2009-04-24,http://rs.tdwg.org/dwc/terms/lifeStage,Subject Life Stage,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A description of the life-cycle stage of any organisms featured within the media, when relevant to the subject of the media, e. g., larvae, juvenile, adult."
http://rs.tdwg.org/dwc/terms/nameAccordingTo-2009-09-21,http://rs.tdwg.org/dwc/terms/nameAccordingTo,Name According To,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"The taxonomic authority used to apply the name to the taxon, e. g., a person, book or web service."
http://rs.tdwg.org/dwc/terms/preparations-2014-10-23,http://rs.tdwg.org/dwc/terms/preparations,Subject Preparation Technique,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"Free form text describing the techniques used to prepare the subject of the media, prior to or while creating the media resource."
http://rs.tdwg.org/dwc/terms/scientificName-2009-09-21,http://rs.tdwg.org/dwc/terms/scientificName,Scientific Taxon Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Scientific names of taxa represented in the media resource (with date and name authorship information if available) of the lowest level taxonomic rank that can be applied.
http://rs.tdwg.org/dwc/terms/scientificNameID-2009-08-24,http://rs.tdwg.org/dwc/terms/scientificNameID,Scientific Name ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,An identifier for the nomenclatural (not taxonomic) details of a scientific name.
http://rs.tdwg.org/dwc/terms/sex-2009-04-24,http://rs.tdwg.org/dwc/terms/sex,Subject Sex,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,2,"A description of the sex of any organisms featured within the media, when relevant to the subject of the media, e. g., male, female, hermaphrodite, dioecious."
http://rs.tdwg.org/dwc/terms/vernacularName-2009-07-06,http://rs.tdwg.org/dwc/terms/vernacularName,Common Name,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,1,Common (= vernacular) names of the subject in one or several languages. The ISO language name should be given in parentheses after the name if not all names are given by values of the Metadata Language term.
http://rs.tdwg.org/dwc/terms/continent-2009-04-24,http://rs.tdwg.org/dwc/terms/continent,Continent,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/coordinatePrecision-2009-04-24,http://rs.tdwg.org/dwc/terms/coordinatePrecision,Coordinate Precision,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.
http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters,Coordinate Uncertainty In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term."
http://rs.tdwg.org/dwc/terms/country-2009-04-24,http://rs.tdwg.org/dwc/terms/country,Country,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The name of the country or major administrative unit in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/countryCode-2009-04-24,http://rs.tdwg.org/dwc/terms/countryCode,Country Code,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The standard code for the country in which the Location occurs. Recommended best practice is to use ISO 3166-1-alpha-2 country codes.
http://rs.tdwg.org/dwc/terms/county-2009-04-24,http://rs.tdwg.org/dwc/terms/county,County,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The full, unabbreviated name of the next smaller administrative region than stateProvince (county, shire, department, etc.) in which the Location occurs."
http://rs.tdwg.org/dwc/terms/decimalLatitude-2009-04-24,http://rs.tdwg.org/dwc/terms/decimalLatitude,Decimal Latitude,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive."
http://rs.tdwg.org/dwc/terms/decimalLongitude-2009-04-24,http://rs.tdwg.org/dwc/terms/decimalLongitude,Decimal Longitude,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive."
http://rs.tdwg.org/dwc/terms/footprintSpatialFit-2009-04-24,http://rs.tdwg.org/dwc/terms/footprintSpatialFit,Footprint Spatial Fit,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The ratio of the area of the footprint (footprintWKT) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given footprint does not completely contain the original representation. The footprintSpatialFit is undefined (and should be left blank) if the original representation is a point and the given georeference is not that same point. If both the original and the given georeference are the same point, the footprintSpatialFit is 1."
http://rs.tdwg.org/dwc/terms/footprintSRS-2009-07-06,http://rs.tdwg.org/dwc/terms/footprintSRS,Footprint SRS,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"A Well-Known Text (WKT) representation of the Spatial Reference System (SRS) for the footprintWKT of the Location. Do not use this term to describe the SRS of the decimalLatitude and decimalLongitude, even if it is the same as for the footprintWKT - use the geodeticDatum instead."
http://rs.tdwg.org/dwc/terms/footprintWKT-2009-04-24,http://rs.tdwg.org/dwc/terms/footprintWKT,Footprint WKT,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"A Well-Known Text (WKT) representation of the shape (footprint, geometry) that defines the Location. A Location may have both a point-radius representation (see decimalLatitude) and a footprint representation, and they may differ from each other."
http://rs.tdwg.org/dwc/terms/geodeticDatum-2009-04-24,http://rs.tdwg.org/dwc/terms/geodeticDatum,Geodetic Datum,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based. Recommended best practice is use the EPSG code as a controlled vocabulary to provide an SRS, if known. Otherwise use a controlled vocabulary for the name or code of the geodetic datum, if known. Otherwise use a controlled vocabulary for the name or code of the ellipsoid, if known. If none of these is known, use the value ""unknown""."
http://rs.tdwg.org/dwc/terms/georeferencedBy-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferencedBy,Georeferenced By,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"A list (concatenated and separated) of names of people, groups, or organizations who determined the georeference (spatial representation) for the Location."
http://rs.tdwg.org/dwc/terms/georeferenceProtocol-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceProtocol,Georeference Protocol,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"A description or reference to the methods used to determine the spatial footprint, coordinates, and uncertainties."
http://rs.tdwg.org/dwc/terms/georeferenceRemarks-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,Georeference Remarks,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalized in the method referred to in georeferenceProtocol."
http://rs.tdwg.org/dwc/terms/georeferenceSources-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceSources,Georeference Sources,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"A list (concatenated and separated) of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resources."
http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus-2009-04-24,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,Georeference Verification Status,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial description. Recommended best practice is to use a controlled vocabulary.
http://rs.tdwg.org/dwc/terms/higherGeography-2009-04-24,http://rs.tdwg.org/dwc/terms/higherGeography,Higher Geography,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,A list (concatenated and separated) of geographic names less specific than the information captured in the locality term.
http://rs.tdwg.org/dwc/terms/higherGeographyID-2009-04-24,http://rs.tdwg.org/dwc/terms/higherGeographyID,Higher Geography ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,An identifier for the geographic region within which the Location occurred. Recommended best practice is to use an persistent identifier from a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/island-2009-04-24,http://rs.tdwg.org/dwc/terms/island,Island,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The name of the island on or near which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/islandGroup-2009-04-24,http://rs.tdwg.org/dwc/terms/islandGroup,Island Group,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The name of the island group in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.
http://rs.tdwg.org/dwc/terms/locality-2009-04-24,http://rs.tdwg.org/dwc/terms/locality,Locality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The specific description of the place. Less specific geographic information can be provided in other geographic terms (higherGeography, continent, country, stateProvince, county, municipality, waterBody, island, islandGroup). This term may contain information modified from the original to correct perceived errors or standardize the description."
http://rs.tdwg.org/dwc/terms/locationAccordingTo-2009-08-24,http://rs.tdwg.org/dwc/terms/locationAccordingTo,Location According To,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"Information about the source of this Location information. Could be a publication (gazetteer), institution, or team of individuals."
http://rs.tdwg.org/dwc/terms/locationID-2009-04-24,http://rs.tdwg.org/dwc/terms/locationID,Location ID,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,An identifier for the set of location information (data associated with dcterms:Location). May be a global unique identifier or an identifier specific to the data set.
http://rs.tdwg.org/dwc/terms/locationRemarks-2009-04-24,http://rs.tdwg.org/dwc/terms/locationRemarks,Location Remarks,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,Comments or notes about the Location.
http://rs.tdwg.org/dwc/terms/maximumDepthInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,Maximum Depth In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The greater depth of a range of depth below the local surface, in meters."
http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumDistanceAboveSurfaceInMeters,Maximum Distance Above Surface In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation."
http://rs.tdwg.org/dwc/terms/maximumElevationInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,Maximum Elevation In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The upper limit of the range of elevation (altitude, usually above sea level), in meters."
http://rs.tdwg.org/dwc/terms/minimumDepthInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,Minimum Depth In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The lesser depth of a range of depth below the local surface, in meters."
http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumDistanceAboveSurfaceInMeters,Minimum Distance Above Surface In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation."
http://rs.tdwg.org/dwc/terms/minimumElevationInMeters-2009-04-24,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,Minimum Elevation In Meters,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The lower limit of the range of elevation (altitude, usually above sea level), in meters."
http://rs.tdwg.org/dwc/terms/municipality-2009-08-24,http://rs.tdwg.org/dwc/terms/municipality,Municipality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The full, unabbreviated name of the next smaller administrative region than county (city, municipality, etc.) in which the Location occurs. Do not use this term for a nearby named place that does not contain the actual location."
http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit-2009-04-24,http://rs.tdwg.org/dwc/terms/pointRadiusSpatialFit,Point Radius Spatial Fit,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The ratio of the area of the point-radius (decimalLatitude, decimalLongitude, coordinateUncertaintyInMeters) to the area of the true (original, or most specific) spatial representation of the Location. Legal values are 0, greater than or equal to 1, or undefined. A value of 1 is an exact match or 100% overlap. A value of 0 should be used if the given point-radius does not completely contain the original representation. The pointRadiusSpatialFit is undefined (and should be left blank) if the original representation is a point without uncertainty and the given georeference is not that same point (without uncertainty). If both the original and the given georeference are the same point, the pointRadiusSpatialFit is 1."
http://rs.tdwg.org/dwc/terms/stateProvince-2009-04-24,http://rs.tdwg.org/dwc/terms/stateProvince,State Province,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs."
http://rs.tdwg.org/dwc/terms/verbatimCoordinates-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimCoordinates,Verbatim Coordinates,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimCoordinateSystem,Verbatim Coordinate System,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The spatial coordinate system for the verbatimLatitude and verbatimLongitude or the verbatimCoordinates of the Location. Recommended best practice is to use a controlled vocabulary.
http://rs.tdwg.org/dwc/terms/verbatimDepth-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimDepth,Verbatim Depth,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The original description of the depth below the local surface.
http://rs.tdwg.org/dwc/terms/verbatimElevation-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimElevation,Verbatim Elevation,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The original description of the elevation (altitude, usually above sea level) of the Location."
http://rs.tdwg.org/dwc/terms/verbatimLatitude-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLatitude,Verbatim Latitude,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
http://rs.tdwg.org/dwc/terms/verbatimLocality-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLocality,Verbatim Locality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,The original textual description of the place.
http://rs.tdwg.org/dwc/terms/verbatimLongitude-2009-04-24,http://rs.tdwg.org/dwc/terms/verbatimLongitude,Verbatim Longitude,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,,"The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem."
